attempt,thread_1_round_trip_nano,thread_2_round_trip_nano
0,143103,1126
1,4948,4433
2,5071,4899
3,5169,5168
4,5095,5193
5,4997,4972
6,5119,5070
7,4997,5070
8,4997,5095
9,4776,4801
10,4924,4727
11,4875,5046
12,4850,4826
13,5168,5070
14,4948,4973
15,4899,4899
16,4825,4752
17,4825,4899
18,4874,4801
19,4997,4899
20,5683,5340
21,5095,5585
22,5120,5120
23,5634,5095
24,4899,5364
25,4850,4850
26,4923,4973
27,4825,4752
28,4801,4825
29,4801,4777
30,4826,4801
31,4899,4825
32,4825,4899
33,4825,4850
34,4825,4728
35,4923,4923
36,4850,4801
37,4850,4924
38,4899,4899
39,4826,4801
40,4973,4924
41,4801,4777
42,4825,4875
43,4825,4875
44,4825,4752
45,4899,4874
46,4850,4874
47,4850,4727
48,4801,4972
49,4826,4752
50,4899,4899
51,4801,4826
52,4899,4826
53,4875,4899
54,4826,4776
55,4850,4875
56,4776,4727
57,4948,4825
58,4875,4997
59,4850,4801
60,4923,4899
61,4801,4825
62,4948,4948
63,4825,4875
64,4825,4727
65,4850,4875
66,4850,4727
67,4850,4923
68,4826,4825
69,4875,4752
70,4826,4948
71,4850,4679
72,4874,4997
73,4825,4825
74,4899,4825
75,4826,4899
76,4825,4801
77,4923,4924
78,4850,4850
79,4899,4874
80,4801,4776
81,4801,4850
82,4801,4874
83,4801,4727
84,4948,4948
85,4850,4850
86,4875,4776
87,4875,4972
88,4801,4752
89,4850,4875
90,4924,4850
91,4874,4850
92,4801,4899
93,4826,4801
94,4850,4850
95,4850,4752
96,4948,4997
97,4801,4826
98,4899,4801
99,4825,4923
100,4825,4801
101,4923,4899
102,4923,4924
103,4874,4875
104,4825,4777
105,4850,4924
106,4899,4875
107,4801,4801
108,4948,4948
109,4874,4801
110,4850,4948
111,4948,4924
112,4825,4752
113,4874,4997
114,4850,4703
115,4826,4899
116,4875,4875
117,4825,4825
118,4850,4850
119,4850,4850
120,4948,4826
121,4850,4923
122,4801,4777
123,4875,4899
124,4826,4825
125,4850,4850
126,4801,4801
127,4850,4850
128,4923,4948
129,4752,4728
130,4973,4948
131,4850,4874
132,4826,4752
133,4826,4899
134,4826,4776
135,4875,4899
136,4777,4776
137,4801,4776
138,4801,4825
139,4826,4776
140,4850,4825
141,4850,4874
142,4924,4924
143,4850,4875
144,4826,4728
145,4850,4973
146,4850,4777
147,4899,4948
148,4801,4801
149,4850,4825
150,4875,4776
151,4826,4923
152,4924,4850
153,4777,4874
154,4826,4752
155,4777,4875
156,4850,4752
157,4923,4923
158,4801,4703
159,4850,4923
160,4826,4850
161,4826,4728
162,4948,5046
163,4825,4801
164,4874,4875
165,4850,4850
166,4899,4899
167,4850,4825
168,4801,4801
169,4875,4874
170,4801,4727
171,4801,4850
172,4899,4899
173,4801,4776
174,4899,4875
175,4899,4850
176,4826,4801
177,4801,4875
178,4850,4776
179,4875,4899
180,4850,4752
181,4850,4923
182,4899,4899
183,4825,4777
184,4875,4899
185,4826,4826
186,4899,4850
187,4825,4850
188,4801,4703
189,4875,4972
190,4850,4825
191,4850,4776
192,4801,4874
193,4801,4825
194,4825,4850
195,4801,4752
196,4948,4948
197,4874,4801
198,4825,4923
199,4850,4874
200,4801,4776
201,4899,4948
202,4801,4679
203,4777,4850
204,4850,4875
205,4850,4826
206,4874,4899
207,4801,4727
208,4826,4899
209,4801,4875
210,4826,4728
211,4948,4899
212,4825,4899
213,4850,4850
214,4801,4826
215,4850,4777
216,4850,4899
217,4825,4850
218,4923,4850
219,4776,4801
220,4777,4752
221,4924,4923
222,4826,4825
223,4875,4874
224,4777,4801
225,4826,4801
226,4875,4875
227,4850,4826
228,4923,4973
229,4825,4826
230,4825,4776
231,4899,4874
232,4801,4801
233,4850,4924
234,4801,4728
235,4825,4825
236,4826,4874
237,4826,4776
238,4850,4850
239,4825,4801
240,4874,4826
241,4850,4899
242,4825,4703
243,4850,4948
244,4801,4801
245,4874,4801
246,4825,4826
247,4850,4850
248,4899,4924
249,4825,4801
250,4972,4948
251,4776,4801
252,4801,4752
253,4875,4825
254,4826,4874
255,4924,4948
256,4875,4727
257,4826,4826
258,4826,4924
259,4801,4703
260,4874,4874
261,4850,4924
262,4874,4801
263,4850,4948
264,4801,4752
265,4825,4899
266,4875,4777
267,4899,4973
268,4850,4850
269,4801,4752
270,4923,4973
271,4850,4728
272,4972,5095
273,4801,4801
274,4875,4826
275,4850,4875
276,4825,4801
277,4850,4874
278,4850,4776
279,4826,4874
280,4777,4850
281,4850,4777
282,4874,4924
283,4825,4777
284,4874,4801
285,4874,4948
286,4850,4801
287,4826,4923
288,4850,4801
289,4899,4924
290,4850,4801
291,4801,4776
292,4825,4899
293,4850,4801
294,4850,4875
295,4801,4801
296,4850,4850
297,4826,4899
298,4850,4752
299,4875,4924
300,4850,4826
301,4825,4825
302,4801,4826
303,4825,4777
304,4874,4875
305,4850,4777
306,4948,4997
307,4825,4875
308,4825,4777
309,4825,4875
310,4825,4777
311,4874,4875
312,4850,4825
313,4875,4874
314,4850,4874
315,4825,4727
316,4899,5021
317,4850,4703
318,4850,4923
319,4875,4874
320,4826,4752
321,4899,5022
322,4874,4776
323,4899,4899
324,4924,4899
325,4801,4826
326,4825,4825
327,4825,4777
328,4899,4825
329,4801,4899
330,4874,4801
331,4825,4899
332,4850,4752
333,4924,4899
334,4826,4752
335,4875,4948
336,4875,4899
337,4850,4728
338,4825,4948
339,4826,4826
340,4948,4899
341,4874,4874
342,4801,4801
343,4899,4899
344,4825,4776
345,4899,4899
346,4752,4826
347,4776,4703
348,4874,4874
349,4825,4777
350,4948,4948
351,4850,4874
352,4825,4801
353,4825,4850
354,4826,4703
355,4948,4948
356,4801,4899
357,4850,4777
358,4874,4825
359,4850,4826
360,4899,4973
361,4801,4826
362,4875,4826
363,4850,4924
364,4801,4777
365,4875,4850
366,4826,4874
367,4924,4899
368,4826,4850
369,4777,4777
370,4801,4850
371,4850,4801
372,4948,4948
373,4826,4825
374,4850,4826
375,4826,4899
376,4826,4776
377,4948,4874
378,4801,4875
379,4850,4776
380,4850,4899
381,4850,4752
382,4899,4973
383,4826,4752
384,4948,4948
385,4801,4850
386,4875,4801
387,4801,4875
388,4825,4703
389,4923,5021
390,4850,4801
391,4850,4850
392,4776,4850
393,4825,4777
394,4923,4923
395,4899,4777
396,4899,4948
397,4874,4825
398,4825,4825
399,4850,4948
400,4777,4679
401,4899,4924
402,4801,4826
403,4997,4875
404,4874,4899
405,4801,4874
406,4875,4874
407,4826,4874
408,4826,4678
409,4777,4948
410,4801,4654
411,4948,4923
412,4850,4875
413,4899,4875
414,4826,4875
415,4776,4850
416,4899,4899
417,4776,4850
418,4825,4727
419,4801,4874
420,4777,4752
421,4924,4826
422,4801,4875
423,4776,4752
424,4752,4703
425,4850,4899
426,4899,4899
427,4801,4776
428,4850,4801
429,4875,4973
430,4826,4777
431,4850,4875
432,4777,4777
433,4850,4850
434,4752,4850
435,4777,4703
436,4924,4923
437,4826,4727
438,4850,4899
439,4825,4874
440,4825,4801
441,4850,4875
442,4776,4728
443,4972,4973
444,4776,4948
445,4825,4752
446,4923,4973
447,4826,4703
448,4875,4972
449,4801,4776
450,4850,4874
451,4801,4752
452,4777,4777
453,4875,4899
454,4826,4899
455,4801,4752
456,4776,4752
457,4801,4850
458,4875,4899
459,4850,4875
460,4923,4850
461,4850,4923
462,4801,4776
463,4948,4850
