attempt,thread_1_round_trip_nano,thread_2_round_trip_nano
0,192863,440
1,2743,2302
2,1542,1983
3,2302,2204
4,2326,2302
5,2326,2302
6,2326,2302
7,2326,2302
8,2351,2302
9,2327,2327
10,2351,2326
11,2351,2302
12,2351,2327
13,2351,2326
14,2376,2351
15,2351,2327
16,2326,2326
17,2351,2302
18,2327,2302
19,2351,2327
20,2351,2351
21,2327,2302
22,2327,2327
23,2326,2302
24,2375,2351
25,2351,2326
26,2327,2302
27,2621,2351
28,3405,3625
29,5462,5365
30,3429,3453
31,5512,4899
32,7006,4899
33,4532,7129
34,3625,3674
35,4703,3943
36,3233,4042
37,2326,2302
38,2351,2326
39,2327,2302
40,2376,2351
41,2326,2327
42,2351,2326
43,2351,2327
44,2351,2326
45,2326,2327
46,2326,2302
47,2302,2302
48,2351,2327
49,2302,2302
50,2327,2326
51,2351,2327
52,2326,2326
53,2375,2327
54,2351,2326
55,2327,2302
56,2326,2302
57,2351,2351
58,2327,2327
59,2351,2302
60,2351,2326
61,2351,2327
62,2351,2351
63,2351,2326
64,2351,2351
65,2326,2302
66,2351,2302
67,2351,2327
68,2326,2302
69,2351,2326
70,2327,2302
71,2326,2302
72,2351,2326
73,2351,2327
74,2351,2326
75,2327,2327
76,2351,2302
77,2327,2302
78,2302,2327
79,2351,2326
80,2351,2302
81,2351,2351
82,2327,2302
83,2326,2351
84,2327,2302
85,2351,2327
86,2351,2326
87,2351,2327
88,2351,2302
89,2351,2327
90,2326,2326
91,2327,2302
92,2376,2351
93,2351,2327
94,2302,2302
95,2351,2327
96,2326,2302
97,2351,2326
98,2327,2327
99,2326,2302
100,2375,2351
101,2326,2326
102,2327,2302
103,2351,2327
104,2327,2326
105,2351,2351
106,2327,2302
107,2326,2302
108,2351,2351
109,2326,2302
110,2351,2326
111,2326,2327
112,2351,2326
113,2326,2327
114,2351,2326
115,2326,2327
116,2326,2302
117,2351,2375
118,2351,2302
119,2351,2327
120,2351,2326
121,2326,2351
122,2327,2302
123,2376,2351
124,2327,2327
125,2326,2326
126,2351,2327
127,2351,2326
128,2327,2327
129,2326,2302
130,2351,2326
131,2351,2327
132,2351,2326
133,2327,2327
134,2326,2326
135,2327,2302
136,2327,2302
137,2351,2302
138,2326,2326
139,2351,2351
140,2351,2302
141,2351,2326
142,2327,2302
143,2327,2302
144,2327,2302
145,2351,2326
146,2327,2327
147,2326,2326
148,2327,2302
149,2327,2302
150,2326,2351
151,2351,2327
152,2327,2326
153,2326,2351
154,2327,2302
155,2327,2302
156,2326,2327
157,2351,2326
158,2327,2327
159,2326,2302
160,2326,2302
161,2351,2302
162,2351,2327
163,2327,2326
164,2326,2327
165,2351,2326
166,2326,2327
167,2351,2375
168,2351,2302
169,2327,2302
170,2326,2326
171,2351,2302
172,2351,2327
173,2351,2351
174,2351,2326
175,2351,2327
176,2351,2326
177,2351,2327
178,2375,2351
179,2351,2326
180,2327,2327
181,2326,2302
182,2326,2326
183,2351,2327
184,2351,2326
185,2351,2327
186,2326,2302
187,2327,2326
188,2351,2302
189,2326,2326
190,2327,2302
191,2351,2351
192,2376,2351
193,2351,2351
194,2327,2302
195,2327,2327
196,2351,2326
197,2351,2327
198,2326,2302
199,2326,2302
200,2351,2326
201,2351,2327
202,2351,2351
203,2351,2351
204,2351,2302
205,2327,2351
206,2326,2302
207,2351,2302
208,2376,2351
209,2351,2327
210,2375,2351
211,2326,2326
212,2327,2327
213,2351,2326
214,2327,2327
215,2351,2326
216,2351,2327
217,2351,2326
218,2351,2327
219,2351,2326
220,2351,2327
221,2351,2326
222,2326,2327
223,2326,2302
224,2375,2351
225,2351,2326
226,2327,2327
227,2351,2302
228,2351,2326
229,2351,2327
230,2327,2351
231,2327,2277
232,2351,2327
233,2327,2302
234,2351,2327
235,2326,2326
236,2327,2302
237,2351,2327
238,2326,2326
239,2327,2327
240,2351,2302
241,2326,2351
242,2327,2302
243,2351,2302
244,2351,2326
245,2376,2351
246,2351,2327
247,2326,2302
248,2326,2326
249,2351,2327
250,2326,2302
251,2351,2326
252,2327,2327
253,2326,2326
254,2351,2327
255,2351,2326
256,2327,2302
257,2327,2327
258,2326,2277
259,2326,2327
260,2351,2326
261,2376,2351
262,2376,2351
263,2327,2327
264,2326,2326
265,2351,2302
266,2351,2327
267,2351,2326
268,2376,2351
269,2327,2302
270,2351,2327
271,2351,2326
272,2326,2327
273,2326,2326
274,2327,2302
275,2375,2376
276,2351,2326
277,2327,2327
278,2375,2351
279,2326,2302
280,2326,2326
281,2327,2302
282,2327,2302
283,2302,2302
284,2326,2302
285,2326,2302
