attempt,thread_1_round_trip_nano,thread_2_round_trip_nano
0,125023,391
1,2057,2057
2,2057,2032
3,2057,2057
4,2057,2082
5,2033,2033
6,2057,2057
7,2057,2057
8,2057,2057
9,2057,2032
10,2057,2057
11,2008,2032
12,2081,2081
13,2057,2032
14,2033,2033
15,2082,2057
16,2057,2057
17,2032,2057
18,2057,2057
19,2033,2033
20,2057,2033
21,2057,2057
22,2033,2057
23,2057,2057
24,2057,2057
25,2033,2033
26,2033,2033
27,2057,2057
28,2032,2032
29,2057,2032
30,2033,2057
31,2057,2033
32,2057,2082
33,2033,2057
34,2057,2032
35,2033,2057
36,2057,2057
37,2032,2032
38,2057,2057
39,2008,2033
40,2082,2057
41,2057,2033
42,2057,2057
43,2033,2032
44,2033,2032
45,2033,2008
46,2057,2081
47,2057,2032
48,2033,2032
49,2033,2032
50,2033,2033
51,2032,2057
52,2375,2032
53,2841,2547
54,2449,3062
55,2743,2621
56,3380,2792
57,3698,4409
58,3478,2841
59,2131,2768
60,3184,2645
61,2057,2571
62,2033,2032
63,2596,2081
64,2032,2571
65,2057,2032
66,3160,2670
67,2033,2523
68,2032,2057
69,2057,2032
70,2082,2081
71,2057,2033
72,2057,2057
73,2033,2057
74,2033,2033
75,2057,2033
76,2032,2032
77,2057,2032
78,2033,2057
79,2033,2033
80,2033,2033
81,2057,2033
82,2032,2057
83,2057,2032
84,2033,2057
85,2033,2033
86,2057,2057
87,2032,2032
88,2057,2057
89,2057,2057
90,2032,2032
91,2057,2057
92,2057,2057
93,2032,2032
94,2081,2081
95,2008,2008
96,2033,2008
97,2057,2057
98,2057,2032
99,2033,2057
100,2057,2033
101,2032,2032
102,2032,2032
103,2081,2057
104,2057,2057
105,2033,2057
106,2033,2033
107,2032,2057
108,2057,2032
109,2033,2033
110,2033,2033
111,2057,2033
112,2032,2057
113,2057,2057
114,2033,2008
115,2033,2057
116,2057,2033
117,2081,2082
118,2032,2057
119,2057,2057
120,2057,2033
121,2057,2032
122,2057,2081
123,2057,2032
124,2057,2057
125,2032,2057
126,2081,2081
127,2057,2057
128,2057,2057
129,2032,2032
130,2057,2057
131,2057,2033
132,2057,2082
133,2057,2057
134,2057,2057
135,2057,2057
136,2081,2057
137,2057,2057
138,2057,2057
139,2057,2057
140,2057,2057
141,2057,2057
142,2057,2081
143,2057,2032
144,2057,2057
145,2057,2057
146,2057,2057
147,2057,2057
148,2008,2032
149,2032,2032
150,2081,2081
151,2057,2057
152,2057,2057
153,2057,2081
154,2057,2032
155,2033,2057
156,2057,2033
157,2032,2057
158,2057,2057
159,2082,2057
160,2033,2057
161,2057,2057
162,2033,2032
163,2057,2033
164,2032,2057
165,2057,2032
166,2057,2057
167,2057,2057
168,2033,2057
169,2032,2057
170,2057,2057
171,2082,2057
172,2057,2057
173,2057,2082
174,2082,2057
175,2057,2057
176,2032,2057
177,2057,2032
178,2057,2081
179,2032,2032
180,2033,2057
181,2057,2057
182,2057,2032
183,2057,2057
184,2081,2057
185,2057,2057
186,2033,2057
187,2057,2057
188,2057,2032
189,2033,2057
190,2057,2057
191,2057,2032
192,2057,2057
193,2057,2082
194,2057,2057
195,2057,2057
196,2057,2057
197,2057,2032
