attempt,thread_1_round_trip_nano,thread_2_round_trip_nano
0,102066,367
1,2106,1788
2,2131,2081
3,2082,2106
4,2082,2081
5,2106,2106
6,2106,2106
7,2082,2057
8,2082,2081
9,2106,2081
10,2106,2082
11,2106,2081
12,2081,2082
13,2106,2106
14,2106,2081
15,2106,2130
16,2106,2081
17,2106,2130
18,2131,2106
19,2082,2081
20,2106,2081
21,2106,2082
22,2082,2081
23,2155,2130
24,2081,2106
25,2106,2106
26,2106,2081
27,2081,2082
28,2081,2082
29,2106,2106
30,2106,2081
31,2106,2082
32,2106,2081
33,2081,2082
34,2081,2082
35,2082,2057
36,2082,2081
37,2106,2106
38,2130,2106
39,2106,2082
40,2106,2106
41,2106,2106
42,2106,2082
43,2082,2082
44,2106,2081
45,2130,2131
46,2106,2106
47,2155,2130
48,2106,2106
49,2106,2106
50,2106,2106
51,2106,2106
52,2106,2081
53,2130,2106
54,2081,2082
55,2106,2082
56,2106,2106
57,2106,2106
58,2106,2106
59,2106,2106
60,2131,2130
61,2131,2106
62,2082,2106
63,2131,2082
64,2106,2081
65,2081,2082
66,2106,2106
67,2106,2081
68,2081,2082
69,2106,2082
70,2106,2081
71,2130,2106
72,2106,2106
73,2106,2106
74,2130,2106
75,2106,2106
76,2082,2081
77,2106,2106
78,2474,2400
79,4189,3404
80,5438,5340
81,3723,4728
82,3356,2523
83,2082,2866
84,2939,2081
85,2106,2939
86,3086,2400
87,2106,2792
88,2106,2131
89,2939,2131
90,2082,2890
91,2131,2106
92,3209,2277
93,2106,3012
94,2081,2081
95,2081,2057
96,2106,2082
97,2082,2106
98,2106,2081
99,2081,2082
100,2081,2082
101,2106,2082
102,2082,2081
103,2081,2081
104,2081,2081
105,2106,2106
106,2106,2106
107,2106,2082
108,2082,2106
109,2106,2081
110,2081,2082
111,2106,2106
112,2106,2106
113,2106,2106
114,2106,2081
115,2106,2106
116,2106,2106
117,2106,2082
118,2082,2106
119,2082,2081
120,2082,2081
121,2106,2081
