attempt,thread_1_round_trip_nano,thread_2_round_trip_nano
0,152585,1224
1,5413,5830
2,5536,5315
3,5414,5462
4,5806,5756
5,5855,5904
6,5707,5659
7,5634,5659
8,6320,6026
9,5732,6002
10,5414,5438
11,5438,5413
12,5365,5511
13,5487,5389
14,5462,5462
15,5340,5340
16,5609,5511
17,5340,5511
18,5389,5340
19,5487,5462
20,5365,5340
21,5365,5413
22,5414,5340
23,5463,5463
24,5512,5414
25,5462,5487
26,5291,5414
27,5487,5364
28,5585,5463
29,5585,5658
30,5683,5512
31,5634,5658
32,5732,5609
33,6075,6149
34,5683,5585
35,5756,5830
36,5805,5707
37,5830,5805
38,5830,5830
39,5879,5756
40,5879,5855
41,5805,5854
42,5854,5781
43,5756,5806
44,5756,5683
45,5830,5781
46,6516,6516
47,6540,6516
48,8378,7790
49,5855,6296
50,5830,5855
51,5854,5781
52,5952,5904
53,5879,5805
54,5855,5928
55,6173,6124
56,6075,5855
57,5928,6026
58,5904,5903
59,5903,5732
60,5854,6002
61,5757,5781
62,5830,5781
63,5854,5806
64,5928,5806
65,5806,5903
66,5756,5732
67,6810,6884
68,6320,6173
69,9236,9333
70,5830,5781
71,5904,5781
72,6859,6810
73,6124,6100
74,5805,5830
75,5806,5830
76,5879,5781
77,5854,5854
78,5928,5879
79,5805,5830
80,5879,5830
81,5805,5781
82,5854,5830
83,5879,5879
84,5781,5805
85,5781,5707
86,5928,5903
87,5855,5781
88,5879,5830
89,5854,5928
90,5805,5781
91,5781,5708
92,5781,5854
93,5879,5830
94,5879,5879
95,5781,5757
96,5855,5707
97,5928,5952
98,5879,5830
99,5781,5781
100,5781,5781
101,5830,5805
102,5879,5805
103,5879,5854
104,5781,5806
105,5854,5879
106,5855,5854
107,5830,5830
108,5854,5756
109,5757,5732
110,5830,5879
111,5781,5707
112,5879,5854
113,5855,5781
114,5781,5854
115,5830,5756
116,5903,5879
117,5879,5879
118,5904,5854
119,5830,5830
120,5830,5732
121,5855,5855
122,5903,5879
123,5806,5830
124,5781,5756
125,5757,5732
126,5830,5806
127,5904,5805
128,5879,5952
129,5854,5707
130,5781,5879
131,5855,5781
132,5879,5879
133,5805,5708
134,5781,5830
135,5781,5707
136,5854,5830
137,5879,5830
138,5830,5855
139,5854,5732
140,5805,5855
141,5903,5855
142,5879,5879
143,5781,5805
144,5830,5732
145,5683,5757
146,5732,5732
147,5634,5585
148,5585,5634
149,5658,5659
150,5805,5658
151,5708,5781
152,5560,5659
153,5560,5487
154,5560,5487
155,5536,5634
156,5511,5487
157,5634,5511
158,5634,5708
159,5610,5585
160,5610,5536
161,5511,5585
162,5561,5512
163,5512,5511
164,5585,5511
165,5634,5536
166,5658,5732
167,5511,5511
168,5585,5561
169,5561,5511
170,5560,5561
171,5560,5487
172,5560,5609
173,5585,5561
174,5536,5462
175,5634,5659
176,5536,5536
177,5560,5487
178,5536,5585
179,5487,5438
180,5610,5511
181,5536,5634
182,5634,5610
183,5610,5511
184,5561,5634
185,5610,5511
186,5560,5634
187,5487,5438
188,5585,5610
189,5610,5536
190,5610,5585
191,5585,5634
192,5610,5560
193,5536,5585
194,5585,5438
195,5585,5659
196,5561,5511
197,5560,5634
198,5536,5512
199,5683,5585
200,5585,5658
201,5561,5512
202,5610,5511
203,5536,5609
204,5585,5536
205,5511,5561
206,5585,5536
207,5561,5585
208,5585,5560
209,5585,5487
210,5585,5634
211,5536,5512
212,5512,5536
213,5536,5536
214,5561,5438
215,5585,5634
216,5610,5634
217,5585,5511
218,5634,5536
219,5536,5634
220,5585,5536
221,5609,5634
222,5634,5512
223,5609,5634
224,5585,5658
225,5708,5610
226,5855,5781
227,5756,5732
228,5830,5830
229,5879,5781
230,5781,5830
231,5855,5805
232,5830,5732
233,5928,5854
234,5854,5903
235,5879,5830
236,5830,5805
237,5732,5806
238,5854,5806
239,5879,5830
240,5879,5903
241,5806,5757
242,5781,5830
243,5855,5805
244,5904,5781
245,5854,5879
246,5879,5854
247,5806,5855
248,5855,5732
249,5904,5928
250,5830,5732
251,5757,5830
252,5904,5830
253,5904,5781
254,5879,5879
255,5806,5830
256,5781,5707
257,5806,5830
258,5879,5854
259,5854,5830
260,5879,5879
261,5830,5806
262,5855,5806
263,5855,5830
264,5879,5855
265,5854,5854
266,5903,5781
267,5805,5781
268,5903,5903
269,5879,5854
270,5781,5855
271,5830,5683
272,5879,5904
273,5855,5806
274,5903,5928
275,5781,5683
276,5756,5756
277,5805,5806
278,5879,5854
279,5830,5830
280,5928,5830
281,5805,5855
282,5830,5806
283,5830,5830
284,5855,5732
285,5830,5830
286,5830,5830
287,5830,5879
288,5903,5855
289,5830,5781
290,5781,5830
291,5781,5781
292,5952,5903
293,5903,5781
294,5854,5830
295,5805,5806
296,5830,5781
297,5805,5879
298,5879,5756
299,5879,5928
300,5757,5683
301,5830,5781
302,5855,5904
303,5830,5781
304,5830,5781
305,5830,5830
306,5830,5854
307,5781,5757
308,5903,5805
309,5830,5805
310,5830,5781
311,5855,5879
312,5805,5781
313,5830,5805
314,5928,5903
315,5732,5659
316,5879,5904
317,5806,5805
318,5854,5757
319,5879,5879
320,5879,5879
321,5830,5781
322,5904,5855
323,5903,5953
324,5952,5854
325,5659,5781
326,5707,5683
327,5683,5585
328,5806,5805
329,5634,5683
330,5585,5634
331,5732,5610
332,5805,5732
333,5683,5756
334,5757,5659
335,5756,5805
336,5658,5634
337,5585,5609
338,5536,5536
339,5585,5536
340,5634,5536
341,5511,5634
342,5585,5463
343,5610,5585
344,5609,5634
345,5585,5609
346,5585,5512
347,5610,5634
348,5560,5487
349,5609,5658
350,5683,5634
351,5634,5561
352,5610,5658
353,5610,5561
354,5634,5609
355,5536,5634
356,5585,5487
357,5609,5659
358,5634,5560
359,5511,5561
360,5585,5536
361,5585,5609
362,5585,5585
363,5560,5585
364,5585,5536
365,5610,5536
366,5634,5634
367,5634,5634
368,5683,5659
369,5634,5585
370,5585,5658
371,5585,5512
372,5560,5585
373,5609,5560
374,5634,5561
375,5561,5609
376,5634,5585
377,5585,5610
378,5585,5610
379,5610,5536
380,5609,5511
381,5585,5634
382,5536,5561
383,5560,5536
384,5585,5560
385,5610,5512
386,5634,5658
387,5585,5634
388,5610,5585
389,5560,5561
390,5634,5536
391,5609,5634
392,5610,5659
393,5634,5487
394,5561,5634
395,5536,5560
