attempt,thread_1_round_trip_nano,thread_2_round_trip_nano
0,144010,1126
1,5022,5291
2,4924,4850
3,4997,4948
4,4923,4948
5,4997,4973
6,5144,5120
7,5095,5169
8,5046,5095
9,4875,4899
10,4973,4948
11,4801,4850
12,4874,4801
13,4776,4825
14,4825,4801
15,4874,4850
16,5021,4874
17,4923,5046
18,4825,4850
19,4923,4924
20,4850,4850
21,4801,4850
22,4923,4826
23,4776,4801
24,5242,4997
25,4801,5021
26,4801,4874
27,4924,4801
28,4801,4826
29,4923,4874
30,4997,4874
31,4899,5021
32,4997,4899
33,4826,4948
34,4875,4801
35,4777,4826
36,4948,4875
37,4825,4850
38,4850,4825
39,4850,4777
40,4874,4850
41,4874,4899
42,4825,4850
43,4923,4899
44,4850,4826
45,4801,4875
46,4923,4899
47,4801,4776
48,4924,4825
49,4850,4899
50,4850,4875
51,4899,4826
52,5585,5193
53,5144,5560
54,5364,5365
55,4997,4997
56,5879,5879
57,4825,4801
58,4850,4826
59,4850,4826
60,4776,4850
61,4874,4825
62,4825,4850
63,4850,4826
64,4973,4850
65,4826,4972
66,4899,4850
67,4825,4801
68,4899,4899
69,4826,4825
70,4850,4850
71,4948,4899
72,4875,4874
73,4924,4923
74,4801,4850
75,4923,4924
76,4776,4777
77,4777,4850
78,4924,4825
79,4801,4801
80,4923,4875
81,4850,4899
82,4801,4825
83,4875,4850
84,4826,4801
85,4850,4825
86,4776,4825
87,4899,4899
88,4997,4875
89,4776,4874
90,4923,4850
91,4825,4850
92,4899,4899
93,4875,4850
94,4826,4850
95,4924,4850
96,4850,4850
97,4899,4899
98,4825,4850
99,4850,4874
100,4899,4875
101,4801,4826
102,4948,4899
103,4850,4850
104,4875,4875
105,4875,4850
106,4752,4850
107,4899,4826
108,4777,4801
109,4948,4899
110,4874,4899
111,4948,4850
112,5022,5046
113,4875,4899
114,5046,4997
115,4948,4948
116,5046,5046
117,5021,4972
118,5046,5046
119,4948,4997
120,5046,4972
121,5046,5046
122,5071,5095
123,5046,5022
124,4997,5022
125,5070,5021
126,5021,5046
127,5046,4973
128,5046,4997
129,5071,5095
130,5022,5022
131,5071,5021
132,5022,5070
133,5022,4997
134,5071,5022
135,4997,5046
136,5095,5046
137,5022,5022
138,5095,5021
139,4972,4997
140,5046,5022
141,4997,5046
142,5046,4997
143,5071,5070
144,5193,5119
145,5340,5267
146,5316,5267
147,5291,5291
148,5364,5291
149,5291,5316
150,5340,5242
151,5291,5316
152,5291,5242
153,5585,5487
154,5414,5365
155,5463,5414
