attempt,thread_1_round_trip_nano,thread_2_round_trip_nano
0,154692,416
1,2376,2400
2,2327,2302
3,2302,2302
4,2351,2327
5,2302,2326
6,2278,2278
7,2253,2228
8,2326,2278
9,2327,2326
10,2327,2302
11,2326,2327
12,2327,2326
13,2327,2302
14,2351,2327
15,2351,2326
16,2351,2351
17,2327,2302
18,2351,2327
19,2302,2326
20,2327,2302
21,2351,2327
22,2302,2326
23,2327,2278
24,2327,2326
25,2302,2302
26,2351,2302
27,2351,2351
28,2327,2302
29,2351,2302
30,2326,2327
31,2351,2326
32,2277,2302
33,2278,2278
34,2351,2277
35,2326,2327
36,2326,2302
37,2327,2302
38,2327,2302
39,2327,2302
40,2327,2302
41,2326,2327
42,2327,2302
43,2351,2327
44,2326,2326
45,2302,2278
46,2327,2302
47,2327,2302
48,2277,2302
49,2326,2278
50,2278,2326
51,2351,2253
52,2277,2302
53,2351,2278
54,2302,2302
55,2327,2302
56,2351,2327
57,2351,2326
58,2351,2327
59,2351,2326
60,2351,2302
61,2326,2327
62,2351,2326
63,2351,2302
64,2351,2351
65,2302,2302
66,2326,2327
67,2326,2302
68,2351,2326
69,2327,2302
70,2351,2302
71,2351,2327
72,2351,2351
73,2326,2302
74,2326,2302
75,2327,2302
76,2302,2302
77,2351,2326
78,2351,2327
79,2326,2302
80,2351,2326
81,2351,2302
82,2326,2327
83,2326,2302
84,2302,2326
85,2326,2278
86,2327,2326
87,2351,2302
88,2326,2351
89,2278,2278
90,2327,2302
91,2351,2277
92,2326,2302
93,2326,2327
94,2327,2326
95,2327,2302
96,2351,2302
97,2326,2327
98,2302,2326
99,2327,2302
100,2327,2302
101,2302,2302
102,2326,2327
103,2351,2326
104,2327,2302
105,2326,2327
106,2351,2326
107,2302,2302
108,2351,2278
109,2327,2302
110,2351,2351
111,2351,2326
112,2351,2327
113,2327,2326
114,2327,2302
115,2327,2302
116,2351,2302
117,2326,2302
118,2326,2302
119,2351,2327
120,2327,2326
121,2327,2302
122,2277,2302
123,2326,2278
124,2327,2326
125,2327,2302
126,2327,2302
127,2326,2327
128,2326,2302
129,2351,2326
130,2351,2327
131,2326,2302
132,2326,2302
133,2327,2326
134,2327,2302
135,2326,2302
136,2326,2302
137,2351,2351
138,2302,2302
139,2302,2302
140,2327,2302
141,2327,2302
142,2327,2302
143,2351,2351
144,2327,2302
145,2326,2302
146,2277,2327
147,2327,2277
148,2327,2302
149,2327,2302
150,2327,2302
151,2327,2302
152,2351,2327
153,2326,2302
154,2327,2302
155,2327,2302
156,2327,2302
157,2351,2327
158,2326,2302
159,2351,2302
160,2351,2351
161,2326,2302
162,2351,2302
163,2327,2326
164,2302,2302
165,2326,2327
166,2375,2326
167,2351,2351
168,2351,2327
169,2327,2302
170,2351,2351
171,2302,2302
172,2302,2302
173,2302,2253
174,2351,2302
175,2302,2326
176,2326,2278
177,2326,2277
178,2326,2302
179,2326,2327
180,2302,2326
181,2326,2302
182,2327,2302
183,2326,2302
184,2351,2351
185,2327,2327
186,2326,2302
187,2351,2302
188,2327,2302
189,2326,2302
190,2326,2351
191,2351,2278
192,2351,2351
193,2326,2302
194,2326,2302
195,2326,2302
196,2302,2326
197,2327,2302
198,2277,2327
199,2351,2277
200,2327,2302
201,2326,2302
202,2326,2327
203,2351,2326
204,2351,2302
205,2326,2327
206,2326,2302
207,2302,2302
208,2326,2302
209,2327,2326
210,2351,2302
211,2351,2327
212,2327,2326
213,2351,2327
214,2351,2326
215,2327,2302
216,2326,2327
217,2277,2302
218,2351,2277
219,2327,2302
220,2326,2327
221,2327,2326
222,2327,2302
223,2326,2327
224,2302,2302
225,2327,2326
226,2302,2253
227,2351,2278
228,2351,2326
229,2302,2327
230,2326,2302
231,2326,2302
232,2326,2302
233,2351,2302
234,2327,2326
235,2326,2327
236,2351,2302
237,2302,2302
238,2351,2326
239,2351,2302
240,2277,2302
241,2351,2278
242,2327,2326
243,2277,2302
244,2302,2253
245,2302,2302
246,2327,2302
247,2302,2302
248,2351,2302
249,2351,2351
250,2327,2302
251,2351,2302
252,2351,2327
253,2327,2326
254,2351,2327
255,2327,2326
256,2327,2302
257,2351,2327
258,2326,2302
259,2327,2326
260,2327,2302
261,2351,2327
262,2302,2302
263,2326,2302
264,2327,2302
265,2302,2326
266,2351,2327
267,2351,2302
268,2278,2326
269,2351,2253
270,2302,2302
271,2327,2277
272,2327,2302
273,2326,2327
274,2326,2302
275,2326,2302
276,2278,2302
277,2351,2277
278,2351,2327
279,2327,2302
280,2351,2327
281,2327,2326
282,2327,2302
283,2351,2327
284,2327,2326
285,2302,2302
286,2327,2302
287,2376,2327
288,2327,2326
289,2327,2302
290,2351,2302
291,2302,2326
292,2327,2253
293,2302,2327
294,2351,2277
295,42506,2327
296,2375,18693
297,2351,2326
298,2351,2327
299,2351,2351
300,2302,2302
301,2351,2302
302,2351,2326
303,2351,2327
304,2327,2326
305,2351,2302
306,2351,2327
307,2351,2351
308,2351,2351
309,2351,2326
310,2302,2327
311,2351,2302
312,2278,2302
313,2326,2302
314,2327,2326
315,2327,2302
316,2351,2327
317,2326,2302
318,2351,2326
319,2327,2302
320,2327,2302
321,2277,2302
322,2326,2278
323,2326,2326
324,2327,2302
325,2351,2302
326,2302,2327
327,2351,2302
328,2327,2326
329,2326,2327
330,4311,2792
331,3037,4531
332,2914,2915
333,2645,2547
334,3429,3013
335,3821,4237
336,3797,3772
337,2277,2228
338,2351,2253
339,2327,2326
340,2327,2302
341,2351,2327
342,2327,2326
343,2327,2327
344,2326,2302
345,2351,2326
346,2302,2327
347,2326,2302
348,2351,2326
349,2302,2327
350,2326,2302
351,2351,2302
352,2302,2326
353,2302,2278
354,2302,2326
355,2327,2302
356,2326,2327
357,2302,2302
358,2351,2277
359,2302,2302
360,2302,2302
361,2327,2302
362,2302,2327
363,2326,2302
364,2326,2302
365,2351,2302
366,2327,2326
367,2326,2327
368,2327,2302
369,2327,2326
370,2326,2327
371,2326,2302
372,2351,2351
373,2326,2302
374,2327,2326
375,2351,2327
376,2326,2302
377,2351,2302
378,2302,2302
379,2351,2326
380,2351,2302
381,3306,2939
382,3821,3454
383,4728,4776
384,4752,5316
385,4360,2449
386,2645,4605
387,2327,2326
388,2302,2302
389,2351,2327
390,2326,2302
391,2302,2302
392,2326,2326
393,2327,2302
394,2302,2302
395,2327,2302
396,2326,2327
397,2351,2302
398,2351,2326
399,2326,2327
400,2327,2302
401,2351,2326
402,2302,2302
403,2351,2326
404,2351,2327
405,2302,2302
406,2326,2302
407,2327,2326
408,2351,2302
409,2351,2351
410,2351,2327
411,2326,2302
412,2351,2326
413,2327,2302
414,2326,2302
415,2351,2326
416,2351,2302
417,2326,2327
418,2327,2326
419,2326,2302
420,2326,2327
421,2327,2326
422,2351,2302
423,2326,2327
424,2302,2302
425,2351,2302
426,2327,2302
427,2327,2302
428,2326,2302
429,2351,2326
430,2351,2302
431,2326,2302
432,2351,2326
433,2327,2302
434,2351,2327
435,2327,2302
436,2376,2351
437,2351,2351
438,2351,2326
439,2326,2302
440,2327,2302
441,2351,2326
442,2326,2327
443,2351,2326
444,2327,2302
445,2326,2302
446,2351,2351
447,2351,2302
448,2351,2327
449,2327,2326
450,2326,2302
451,2351,2327
452,2327,2302
453,2351,2351
454,2351,2302
455,2327,2326
456,2302,2327
457,2866,2890
458,4556,4188
459,4140,3454
460,4777,5585
461,4360,4115
462,3135,3355
463,4262,3429
464,2351,3233
465,2424,2400
466,2424,2400
467,2424,2400
468,2424,2400
469,2424,2400
470,2424,2400
471,2424,2400
472,2424,2400
473,2424,2400
474,2424,2400
475,2425,2425
476,2449,2400
477,2767,2670
478,2498,2473
479,2474,2474
480,2498,2473
481,2474,2474
482,2498,2449
483,2498,2473
484,2498,2474
485,2522,2498
486,2473,2473
487,2522,2498
488,2473,2376
489,2498,2571
490,2449,2498
491,2351,2351
492,2376,2375
493,2400,2376
494,2375,2375
495,2400,2376
496,2351,2375
497,2376,2351
498,2400,2351
499,2376,2425
500,2375,2351
501,2400,2375
502,2376,2376
503,2400,2375
504,2400,2376
505,2400,2375
506,2351,2351
507,2376,2400
508,2375,2351
509,2376,2376
510,2351,2351
511,2375,2376
512,2400,2351
513,2375,2400
514,2376,2375
515,2376,2327
516,2376,2375
517,2351,2376
518,2351,2302
519,2327,2351
520,2375,2351
521,2376,2351
522,2400,2375
523,2351,2351
524,2400,2326
525,2400,2376
526,2376,2351
527,2400,2375
528,2376,2376
529,2400,2400
530,2376,2351
531,2400,2375
532,2375,2376
533,2376,2351
534,2351,2351
535,2424,2351
536,2400,2400
537,2375,2375
538,2351,2351
539,2400,2326
540,2375,2351
541,2375,2376
542,2351,2351
543,2375,2326
544,2375,2351
545,2400,2375
546,2375,2351
547,2400,2376
548,2376,2351
549,2375,2375
550,2375,2376
551,2376,2351
552,2400,2375
553,2351,2326
554,2400,2375
555,2351,2351
556,2376,2351
557,2375,2351
558,2376,2376
559,2376,2375
560,2375,2376
561,2400,2375
562,2375,2376
563,2327,2351
564,2375,2326
565,2375,2351
566,3258,3233
567,3160,3209
568,3894,3429
569,3797,3870
570,4189,3723
571,3601,3845
572,3184,3699
573,2425,2375
574,2351,2400
575,2400,2327
576,2425,2375
577,2376,2376
578,2376,2351
579,2375,2375
580,2375,2376
581,2327,2351
582,2375,2326
583,2375,2351
584,2376,2376
585,2351,2375
586,2375,2351
587,2351,2376
588,2375,2326
589,2351,2376
590,2375,2351
591,2376,2375
592,2400,2376
593,2400,2375
594,2400,2376
595,2376,2375
596,2375,2376
597,2376,2375
598,2400,2376
599,2400,2375
600,2375,2351
601,2400,2376
602,2376,2351
603,2351,2375
604,2400,2351
605,2376,2400
606,2375,2351
607,2375,2376
608,2376,2351
609,2376,2351
610,2351,2375
611,2400,2327
612,2375,2400
613,2327,2351
614,2326,2326
615,2376,2351
616,2376,2351
617,2375,2351
618,2351,2351
619,2375,2351
620,2400,2376
621,2375,2375
622,2375,2376
623,2400,2351
624,2375,2400
625,2376,2351
626,2400,2375
627,2400,2376
628,2400,2375
629,2375,2351
630,2376,2351
631,2400,2375
632,2351,2376
