attempt,thread_1_round_trip_nano,thread_2_round_trip_nano
0,109195,1249
1,5315,5756
2,5585,5193
3,5512,5585
4,5585,5707
5,5511,5462
6,5487,5560
7,5389,5364
8,5267,5438
9,5340,5291
10,5414,5340
11,5242,5389
12,5707,5658
13,7814,7716
14,6516,5928
15,5953,6590
16,6492,5879
17,5438,6050
18,6932,5462
19,5414,7055
20,5217,5193
21,5315,5340
22,5193,5217
23,5365,5340
24,5242,5291
25,5316,5266
26,5365,5266
27,5217,5315
28,5315,5364
29,5267,5266
30,5291,5340
31,5291,5267
32,5389,5267
33,6001,6124
34,5952,5928
35,5364,5438
36,5536,5340
37,5438,5511
38,5634,5756
39,5315,5266
40,5242,5315
41,5316,5242
42,5291,5365
43,5340,5340
44,5316,5315
45,5242,5291
46,5365,5365
47,5217,5291
48,5291,5242
49,5193,5218
50,5315,5267
51,5315,5340
52,5340,5315
53,5291,5291
54,5218,5291
55,5267,5266
56,5291,5291
57,5267,5267
58,5316,5316
59,5438,5340
60,5267,5340
61,5365,5389
62,5291,5364
63,5267,5266
64,5169,5193
65,5242,5218
66,5291,5291
67,5315,5291
68,5315,5316
69,5266,5267
70,5242,5291
71,5193,5242
72,5242,5168
73,5218,5217
74,5291,5266
75,5193,5315
76,5413,5340
77,5217,5267
78,5242,5291
79,5218,5242
80,5217,5218
81,5291,5267
82,5291,5291
83,5291,5291
84,5315,5242
85,5217,5266
86,5217,5315
87,5242,5217
88,5242,5217
89,5291,5242
90,5316,5242
91,5340,5365
92,5217,5316
93,5291,5218
94,5217,5340
95,5365,5340
96,5316,5316
97,5340,5267
98,5364,5389
99,5291,5340
100,5315,5291
101,5242,5266
102,5340,5340
103,5266,5267
104,5389,5389
105,5242,5266
106,5316,5266
107,5267,5340
108,5291,5242
109,5316,5364
110,5242,5266
111,5340,5315
112,5217,5266
113,5267,5193
114,5316,5364
115,5365,5315
116,5242,5291
117,5315,5291
118,5242,5291
119,5340,5316
120,5193,5242
121,5266,5217
122,5315,5340
123,5316,5315
124,5364,5364
125,5266,5291
126,5316,5316
127,5291,5316
128,5316,5316
129,5218,5242
130,5389,5315
131,5193,5291
132,5389,5316
133,5218,5316
134,5267,5242
135,5267,5291
136,5291,5291
137,5291,5266
138,5242,5242
139,5340,5316
140,5316,5291
141,5316,5364
142,5242,5266
143,5291,5291
144,5218,5267
145,5267,5218
146,5242,5316
147,5315,5291
148,5315,5340
149,5242,5218
150,5340,5340
151,5315,5340
152,5291,5316
153,5218,5193
154,5365,5315
155,5291,5340
156,5340,5291
157,5193,5291
158,5340,5316
159,5242,5291
160,5315,5340
161,5242,5218
162,5389,5316
163,5291,5389
164,5266,5242
165,5291,5291
166,5193,5266
167,5291,5193
168,5242,5316
169,5267,5218
170,5242,5291
171,5340,5291
172,5315,5316
173,5364,5365
174,5267,5414
175,5315,5267
176,5364,5414
177,5266,5218
178,5340,5291
179,5315,5364
180,5315,5316
181,5217,5242
182,5340,5291
183,5217,5291
184,5316,5340
185,5266,5266
186,5389,5291
187,5340,5414
188,5267,5267
189,5242,5291
190,5193,5242
191,5364,5316
192,5291,5316
193,5242,5242
194,5242,5242
195,5316,5316
196,5218,5267
197,5315,5291
198,5218,5315
199,5340,5291
200,5291,5340
201,5291,5193
202,5340,5340
203,5266,5364
204,5291,5242
205,5267,5291
206,5316,5315
207,5291,5291
208,5242,5242
209,5242,5242
210,5340,5316
211,5218,5267
212,5315,5291
213,5242,5267
214,5266,5267
215,5242,5218
216,5267,5291
217,5266,5340
218,5267,5218
219,5340,5340
220,5242,5266
221,5242,5266
222,5242,5291
223,5340,5267
224,5316,5389
225,5291,5193
226,5315,5365
227,5291,5291
228,5315,5340
229,5266,5267
230,5267,5340
231,5266,5291
232,5291,5316
233,5242,5218
234,5340,5267
235,5193,5291
236,5340,5267
237,5242,5291
238,5340,5340
239,5242,5242
240,5340,5364
241,5291,5340
242,5365,5291
243,5218,5291
244,5291,5242
245,5193,5217
246,5266,5291
