attempt,thread_1_round_trip_nano,thread_2_round_trip_nano
0,89277,391
1,2081,2449
2,2057,2057
3,2081,2081
4,2057,2106
5,2057,2057
6,2081,2057
7,2032,2057
8,2081,2057
9,2106,2081
10,2082,2081
11,2106,2081
12,2081,2106
13,2081,2082
14,2106,2082
15,2057,2082
16,2081,2082
17,2081,2082
18,2081,2106
19,2106,2057
20,2106,2131
21,2106,2106
22,2082,2081
23,2057,2081
24,2106,2081
25,2082,2081
26,2057,2057
27,2081,2082
28,2081,2057
29,2081,2082
30,2106,2106
31,2082,2081
32,2082,2106
33,2131,2082
34,2082,2106
35,2106,2106
36,2106,2082
37,2106,2131
38,2106,2082
39,2057,2082
40,2106,2082
41,2057,2082
42,2057,2082
43,2081,2082
44,2081,2082
45,2106,2106
46,2106,2106
47,2106,2082
48,2106,2106
49,2081,2106
50,2081,2082
51,2057,2082
52,2057,2057
53,2081,2057
54,2081,2082
55,2081,2082
56,2106,2106
57,2082,2081
58,2082,2081
59,2082,2081
60,2082,2081
61,2057,2057
62,2081,2106
63,2057,2057
64,2081,2057
65,2081,2106
66,2106,2081
67,2082,2081
68,2082,2081
69,2106,2106
70,2081,2082
71,2081,2057
72,2081,2082
73,2081,2106
74,2081,2057
75,2057,2082
76,2082,2082
77,2082,2057
78,2082,2081
79,2057,2081
80,2130,2081
81,3306,3355
82,4262,4139
83,5120,4433
84,3601,4360
85,2376,2081
86,2082,2375
87,2082,2057
88,2082,2081
89,2082,2081
90,2057,2057
91,2106,2081
92,2082,2106
93,2253,2253
94,2768,2081
95,2082,2767
96,2106,2081
97,2106,2130
98,2106,2106
99,2130,2131
100,2081,2082
101,2081,2082
102,2106,2106
103,2106,2081
104,2081,2082
105,2081,2082
106,2106,2106
107,2081,2106
108,2106,2082
109,2082,2106
110,2082,2081
111,2082,2081
112,2106,2106
113,2106,2106
114,2106,2106
115,2081,2082
116,2106,2106
117,2131,2106
118,2106,2131
119,2130,2106
120,2106,2130
121,2106,2106
122,2106,2106
123,2082,2106
124,2081,2057
125,2057,2081
126,2106,2106
127,2081,2082
128,2081,2082
129,2081,2082
130,2081,2082
131,2081,2082
132,2081,2082
133,2081,2081
134,2057,2057
135,2106,2082
136,2081,2082
137,2081,2082
138,2081,2082
139,2130,2131
140,2081,2082
141,2057,2057
