attempt,thread_1_round_trip_nano,thread_2_round_trip_nano
0,1665,26337
1,1934,1934
2,1934,1910
3,1934,1934
4,1910,1910
5,1886,1935
6,1861,1861
7,1861,1836
8,1861,1861
9,1861,1861
10,1886,1885
11,1861,1861
12,1885,1861
13,1885,1910
14,1861,1837
15,1861,1861
16,1861,1837
17,1837,1836
18,1836,1837
19,1861,1836
20,1837,1836
21,1861,1861
22,1836,1837
23,2400,2375
24,2131,2130
25,1837,1836
26,1837,1836
27,1836,1861
28,1836,1837
29,1837,1836
30,1861,1861
31,1861,1861
32,1861,1861
33,1861,1861
34,1886,1885
35,1886,1885
36,1837,1861
37,1812,1837
38,1886,1861
39,1861,1837
40,1836,1837
41,1861,1836
42,1837,1836
43,1861,1861
44,1885,1861
45,1836,1812
46,1861,1861
47,1886,1861
48,1861,1861
49,1861,1861
50,1837,1836
51,1861,1861
52,1836,1837
53,1861,1861
54,1861,1861
55,1837,1836
56,1861,1836
57,1861,1861
58,1837,1836
59,1861,1837
60,1837,1836
61,1861,1861
62,1885,1861
63,1861,1861
64,1837,1861
65,1861,1861
66,1837,1836
67,1861,1861
68,1836,1837
69,1837,1836
70,1837,1812
71,1861,1861
72,1885,1837
73,1836,1861
74,1861,1861
75,1861,1861
76,1861,1861
77,1861,1861
78,1836,1837
79,1861,1836
80,1861,1861
81,1861,1861
82,1861,1861
83,1861,1861
84,1886,1885
85,1959,1885
86,2179,2253
87,1861,1861
88,1861,1861
89,1861,1861
90,1886,1885
91,1861,1861
92,1861,1836
93,1861,1837
94,1837,1836
95,1837,1836
96,1886,1861
97,1861,1861
98,1861,1861
99,1837,1836
100,1861,1861
101,1836,1812
102,1837,1812
103,1861,1861
104,1836,1837
105,1861,1836
106,1861,1836
107,1836,1837
108,1861,1861
109,1837,1836
110,1861,1837
111,1836,1837
112,1861,1861
113,1861,1861
114,1861,1861
115,1837,1836
116,1861,1837
117,1836,1837
118,1836,1837
119,1861,1861
120,1836,1837
121,1861,1861
122,1861,1861
123,1861,1861
124,1836,1837
125,1885,1861
126,1836,1837
127,1861,1861
128,1910,1861
129,1836,1837
130,1910,1861
131,1861,1885
132,1886,1861
133,1886,1910
134,1837,1836
135,1886,1861
136,1861,1861
137,1861,1861
138,1886,1861
139,1861,1861
140,1885,1886
141,1836,1837
142,1837,1836
143,1886,1837
144,1837,1836
145,1861,1861
146,1861,1837
147,1861,1861
148,1836,1837
149,1885,1861
150,1885,1861
151,1885,1886
152,1861,1861
153,1886,1885
154,1837,1836
155,1861,1861
156,1885,1861
157,1836,1837
158,1885,1861
159,1861,1861
160,1861,1861
161,1861,1861
162,1886,1885
163,1837,1836
164,1837,1837
165,1886,1861
166,1837,1836
167,1837,1836
168,1837,1812
169,1861,1837
170,1861,1861
171,1837,1836
172,1837,1836
173,1836,1837
174,1861,1861
175,1861,1812
176,1836,1837
177,1861,1861
178,1837,1836
179,1861,1861
180,1861,1861
181,1861,1861
182,1836,1837
183,1885,1836
184,1836,1837
185,1861,1861
186,1861,1861
187,1836,1837
188,1861,1836
189,1886,1861
190,1861,1861
191,1861,1836
192,1861,1861
193,1861,1861
194,1861,1861
195,1836,1837
196,1861,1836
197,1837,1836
198,1861,1837
199,1836,1837
200,1861,1836
201,1861,1861
202,1861,1861
203,1861,1837
204,1836,1837
205,1861,1861
206,1886,1837
207,1837,1836
208,1886,1837
209,1861,1861
210,1861,1861
211,1861,1861
212,1886,1885
213,1886,1861
214,1837,1836
215,1837,1836
216,1836,1837
217,1861,1861
218,1837,1836
219,1861,1861
220,1836,1837
221,1861,1861
222,1861,1837
223,1861,1861
224,1837,1836
225,1861,1861
226,1861,1886
227,1861,1837
228,1861,1861
229,1837,1836
230,1861,1861
231,1861,1861
232,1837,1836
233,1861,1812
234,1861,1861
235,1837,1836
236,1837,1861
237,1861,1837
238,1836,1837
239,1861,1836
240,1837,1836
241,1861,1861
242,1910,1910
243,1861,1861
244,1861,1861
245,1886,1885
246,1886,1885
247,1861,1861
248,1885,1886
249,1861,1861
250,1886,1885
251,1886,1861
252,1885,1910
253,1861,1861
254,1861,1861
255,1885,1861
256,1861,1861
257,1837,1836
258,1861,1812
259,1861,1861
260,1861,1861
261,1861,1861
262,1861,1861
263,1861,1812
264,1837,1836
265,1861,1861
266,1861,1861
267,1861,1861
268,1885,1861
269,1885,1836
270,1812,1837
271,1886,1837
272,1837,1836
273,1861,1837
274,1861,1836
275,1836,1837
276,1836,1837
277,1861,1861
278,1861,1836
279,1836,1837
280,1861,1837
281,1861,1836
282,1836,1837
283,1861,1837
284,1861,1885
285,1885,1836
286,1836,1837
287,1861,1837
288,1837,1836
289,1861,1861
290,1836,1837
291,1861,1836
292,1861,1861
293,1861,1812
294,1837,1836
295,1837,1861
296,1861,1837
297,1861,1861
298,1837,1836
299,1861,1861
300,1861,1861
301,1837,1836
302,1837,1836
303,1861,1861
304,1836,1837
305,1910,1836
306,1837,1861
307,1861,1861
308,1910,1836
309,1861,1886
310,1861,1861
311,1861,1861
