attempt,thread_1_round_trip_nano,thread_2_round_trip_nano
0,299414,1273
1,6491,6491
2,5903,5683
3,5781,5952
4,5904,5659
5,5879,5977
6,5953,5904
7,5904,5830
8,5928,5952
9,5683,5658
10,5756,5659
11,5732,5805
12,6051,5634
13,5830,6075
14,6222,5830
15,5658,6075
16,5732,5683
17,5659,5683
18,5830,5683
19,5805,5830
20,5683,5708
21,5659,5610
22,5732,5707
23,5756,5708
24,5658,5634
25,5707,5609
26,5756,5634
27,5756,5806
28,5683,5634
29,5659,5610
30,5708,5683
31,5708,5683
32,5634,5634
33,5659,5659
34,5781,5634
35,5732,5781
36,5659,5634
37,5781,5732
38,5683,5708
39,5732,5683
40,5707,5707
41,5732,5683
42,5683,5609
43,5683,5658
44,5610,5634
45,5732,5634
46,5707,5708
47,5658,5634
48,5707,5634
49,5732,5683
50,5757,5708
51,5732,5708
52,5707,5634
53,5634,5659
54,5732,5683
55,5707,5634
56,5658,5683
57,5732,5634
58,5708,5683
59,5585,5658
60,5462,5438
61,5536,5511
62,5512,5463
63,5512,5462
64,5536,5561
65,5585,5487
66,5536,5560
67,5585,5512
68,5512,5511
69,5683,5536
70,5585,5683
71,5585,5610
72,5560,5511
73,5487,5512
74,5340,5340
75,5462,5438
76,5340,5291
77,5414,5413
78,5365,5316
79,5316,5364
80,5389,5316
81,5389,5364
82,5340,5316
83,5413,5389
84,5462,5413
85,5266,5340
86,5365,5291
87,5340,5316
88,5291,5315
89,5340,5242
90,5438,5364
91,5487,5512
92,5364,5315
93,5413,5414
94,5340,5364
95,5413,5389
96,5438,5389
97,5365,5340
98,5463,5438
99,5340,5365
100,5340,5266
101,5365,5365
102,5340,5340
103,5413,5389
104,5462,5389
105,5364,5364
106,5364,5340
107,5462,5414
108,5291,5291
109,5389,5340
110,5413,5389
111,5291,5315
112,5389,5315
113,5438,5438
114,5389,5365
115,5365,5315
116,5438,5365
117,5315,5389
118,5340,5267
119,5389,5340
120,5340,5389
121,5413,5389
122,5364,5315
123,5462,5389
124,5389,5365
125,5414,5413
126,5389,5414
127,5413,5364
128,5389,5389
129,5365,5316
130,5438,5340
131,5389,5414
132,5389,5340
133,5413,5413
134,5315,5291
135,5413,5389
136,5340,5291
137,5414,5413
138,5389,5291
139,5462,5438
140,5364,5389
141,5389,5389
142,5389,5316
143,5316,5340
144,5389,5340
145,5340,5364
146,5463,5389
147,5389,5365
148,5389,5340
149,5389,5438
150,5364,5340
151,5316,5266
152,5365,5365
153,5463,5462
154,5365,5316
155,5463,5438
156,5365,5291
157,5316,5340
158,5365,5364
159,5389,5340
160,5364,5340
161,5364,5340
162,5487,5364
163,5414,5487
164,5414,5340
165,5463,5438
166,5267,5291
167,5389,5389
168,5340,5291
169,5389,5340
170,5389,5340
171,5414,5365
172,5365,5389
173,5365,5364
174,5413,5365
175,5340,5340
176,5414,5364
177,5365,5364
178,5438,5340
179,5365,5389
180,5365,5340
181,5389,5414
182,5315,5266
183,5389,5365
184,5291,5315
185,5463,5365
186,5389,5389
187,5438,5438
188,5463,5364
189,5340,5414
190,5389,5340
191,5316,5291
192,5340,5389
193,5389,5315
194,5487,5365
195,5340,5413
196,5365,5316
197,5389,5389
198,5316,5315
199,5414,5365
200,5365,5315
201,5389,5414
202,5389,5315
203,5414,5389
204,5340,5315
205,5364,5365
206,5438,5389
207,5389,5389
208,5438,5413
209,5389,5365
210,5487,5413
211,5438,5438
212,5316,5291
213,5414,5413
214,5340,5291
215,5340,5340
216,5389,5316
217,5413,5364
218,5364,5365
219,5413,5438
220,5438,5340
221,5316,5364
222,5414,5365
223,5438,5413
224,5364,5389
225,5364,5316
226,5438,5291
227,5365,5438
228,5365,5340
229,5438,5413
230,5291,5316
231,5414,5340
232,5365,5315
233,5365,5365
234,5389,5364
235,5389,5389
236,5340,5340
237,5315,5316
238,5438,5364
239,5414,5414
240,5463,5413
241,5389,5389
242,5364,5267
243,5462,5511
244,5267,5242
245,5414,5438
246,5389,5315
247,5315,5340
248,5438,5365
249,5487,5438
250,5389,5340
251,5389,5413
252,5364,5365
253,5364,5315
254,5389,5365
255,5389,5364
256,5340,5389
257,5463,5340
258,5389,5316
259,5389,5462
260,5389,5316
261,5438,5462
262,5340,5291
263,5438,5365
264,5438,5438
265,5315,5340
266,5462,5365
