attempt,thread_1_round_trip_nano,thread_2_round_trip_nano
0,1640,99836
1,1910,1641
2,1910,1886
3,1836,1886
4,1861,1861
5,1861,1885
6,1886,1885
7,1886,1861
8,1886,1886
9,1861,1861
10,1885,1861
11,1885,1885
12,1861,1885
13,1886,1861
14,1886,1861
15,1886,1886
16,1886,1886
17,1910,1910
18,1910,1886
19,1910,1910
20,1886,1886
21,1910,1861
22,1885,1910
23,1934,1886
24,1861,1910
25,1910,1885
26,1885,1885
27,1910,1934
28,1885,1885
29,1885,1861
30,1861,1885
31,1886,1861
32,1910,1910
33,1910,1910
34,1885,1910
35,1910,1886
36,1935,1910
37,1886,1910
38,1910,1861
39,1910,1910
40,1910,1910
41,1885,1935
42,1934,1886
43,1910,1910
44,1935,1910
45,1886,1910
46,1910,1885
47,1910,1885
48,1935,1910
49,1910,1934
50,1885,1885
51,1885,1861
52,1885,1861
53,1910,1861
54,1886,1886
55,1910,1910
56,1934,1885
57,1910,1910
58,1886,1885
59,1910,1886
60,1885,1910
61,1861,1837
62,1886,1861
63,1861,1861
64,1910,1861
65,1886,1886
66,1861,1886
67,1861,1837
68,1886,1861
69,1935,1910
70,1886,1910
71,1886,1885
72,1861,1861
73,1861,1861
74,1886,1861
75,1861,1886
76,1861,1861
77,1861,1837
78,1910,1861
79,1885,1910
80,1885,1885
81,1885,1885
82,1861,1885
83,1886,1861
84,1886,1861
85,2180,2155
86,2278,2278
87,3625,3600
88,2694,2694
89,1886,1885
90,1984,1861
91,1886,1959
92,1886,1886
93,1886,1861
94,1861,1886
95,2694,2719
96,2865,1861
97,1910,2890
98,1861,1886
99,1861,1886
100,2375,1861
101,1910,2400
102,2278,2278
103,1886,1886
104,1935,1861
105,1910,1910
106,1885,1910
107,1910,1910
108,1885,1886
109,1910,1935
110,1886,1861
111,1886,1861
112,1910,1861
113,1861,1910
114,1910,1886
115,1910,1910
116,1910,1885
117,1910,1934
118,1934,1910
119,1910,1885
120,1910,1910
121,1934,1910
122,1861,1910
123,1886,1885
124,1910,1861
125,1861,1885
126,1886,1861
127,1861,1836
128,1885,1861
129,1910,1861
130,1886,1910
131,1861,1886
132,1885,1861
133,1861,1885
134,1910,1861
135,1885,1910
136,1910,1885
137,1910,1910
138,1886,1910
139,1910,1910
140,1934,1886
141,1861,1886
142,1886,1861
143,1910,1886
144,1885,1910
145,1861,1861
146,1886,1861
147,1861,1886
148,1861,1861
149,1861,1837
150,1886,1861
151,1886,1886
152,1910,1861
153,1885,1910
154,1885,1885
155,1910,1885
156,1886,1886
157,1861,1910
158,1886,1861
159,1886,1836
160,1886,1910
161,1910,1886
162,1861,1910
163,1886,1861
164,1861,1886
165,1861,1861
166,1861,1885
167,1861,1861
168,1910,1861
169,1910,1910
170,1886,1910
171,1861,1886
172,1885,1861
173,1910,1861
174,1886,1886
175,1886,1886
176,1910,1861
177,1885,1910
178,1885,1885
179,1885,1885
180,1885,1885
181,1910,1910
182,1910,1910
183,1910,1910
184,1959,1934
185,1984,1959
186,1959,1959
187,1934,1935
188,1959,1959
189,1959,1959
190,1959,1959
191,1959,1959
192,1983,1959
193,1983,1959
194,1959,1959
195,1984,1983
196,1984,1983
197,2032,2008
198,2106,2106
199,2155,2106
200,2179,2131
201,2228,2204
202,2228,2179
203,2228,2229
204,2204,2179
205,2229,2204
206,2253,2229
207,2228,2204
208,2253,2228
209,2302,2229
210,2253,2228
211,2376,2351
212,2229,2351
213,2229,2204
214,2302,2278
215,2277,2253
216,2229,2277
217,2302,2229
218,2327,2302
219,2278,2302
220,2327,2253
221,2302,2277
222,2302,2302
223,2302,2302
224,2277,2302
225,2326,2253
226,2277,2302
227,2302,2253
228,2302,2302
229,2278,2278
230,2302,2253
231,2327,2277
232,2327,2351
233,2302,2302
234,2302,2278
235,2278,2302
236,2277,2277
237,2327,2278
238,2302,2302
239,2326,2277
240,2302,2302
241,2278,2278
242,2277,2277
243,2277,2253
244,2278,2253
245,2278,2278
246,2326,2277
247,2302,2278
248,2302,2302
249,2277,2229
250,2302,2253
251,2277,2302
252,2302,2253
253,2277,2302
254,2302,2253
255,2302,2302
256,2302,2302
257,2302,2302
258,2278,2278
259,2327,2277
260,2302,2302
261,2277,2278
262,2326,2277
263,2277,2278
264,2326,2277
265,2277,2302
266,2278,2278
267,2253,2253
268,2522,2424
269,2596,2547
270,2277,2302
271,2278,2253
272,2278,2278
273,2277,2253
274,2302,2277
275,2327,2278
276,2278,2302
277,2327,2228
278,2302,2302
279,2277,2302
280,2302,2278
281,2278,2228
282,2302,2278
283,2302,2253
284,2326,2326
285,2302,2278
286,2327,2302
