attempt,thread_1_round_trip_nano,thread_2_round_trip_nano
0,114390,391
1,1641,2204
2,3086,1934
3,2008,3160
4,1959,1959
5,1959,1935
6,1959,1959
7,1959,1935
8,1935,1935
9,1959,1934
10,1959,1959
11,1984,1935
12,1959,1983
13,1935,1935
14,1983,1934
15,1983,2008
16,1959,1959
17,1959,1959
18,1959,1935
19,1959,1934
20,1959,1959
21,1935,1935
22,1934,1934
23,1984,1935
24,1984,1983
25,1934,1983
26,1984,1935
27,1984,1983
28,1959,1959
29,1959,1959
30,1959,1935
31,1959,1934
32,1935,1935
33,1935,1935
34,1934,1934
35,1984,1959
36,1934,1983
37,1959,1959
38,1934,1934
39,1959,1959
40,1959,1935
41,1934,1934
42,1935,1959
43,1983,1984
44,1959,1959
45,1959,1959
46,1959,1959
47,1959,1959
48,1935,1935
49,1983,1959
50,1959,1984
51,2008,1959
52,1959,1984
53,1959,1959
54,2008,1959
55,1984,1983
56,1984,1959
57,1959,1959
58,1935,1935
59,1983,1959
60,1959,1984
61,1983,1959
62,1959,2008
63,1959,1959
64,2008,1959
65,1959,1984
66,1959,1959
67,1959,1910
68,1959,1935
69,1959,1984
70,1959,1959
71,1959,1959
72,1935,1935
73,2596,2572
74,1935,1984
75,1959,1935
76,1959,1959
77,1983,1959
78,1959,1984
79,1959,1959
80,1959,1935
81,1983,1959
82,1959,1984
83,1959,1959
84,1959,1935
85,1934,1934
86,1959,1935
87,1959,1935
88,1934,1934
89,1959,1959
90,1959,1935
91,1934,1934
92,1935,1935
93,1935,1935
94,1934,1934
95,1959,1934
96,1935,1935
97,1934,1959
98,1959,1959
99,1959,1959
100,1959,1934
101,1959,1935
102,1934,1934
103,1959,1935
104,1959,1959
105,1934,1934
106,1935,1935
107,1934,1934
108,1934,1934
109,1935,1935
110,1959,1910
111,1959,1959
112,1959,1959
113,1959,1959
114,1959,1935
115,1934,1934
116,1959,1959
117,1959,1935
118,1959,1959
119,1935,1935
120,1934,1934
121,1959,1959
122,1959,1959
123,1959,1959
124,1935,1935
125,1934,1934
126,1935,1959
127,1959,1959
128,1959,1959
129,1959,1935
130,1934,1910
131,1934,1934
132,1984,1959
133,1959,1983
134,1959,1959
135,1959,1959
136,1959,1959
137,1959,1959
138,1984,1984
139,1984,1959
140,1959,1935
141,2008,1959
142,1935,1984
143,1959,1959
144,1934,1934
145,1959,1935
146,1934,1934
147,1935,1935
148,1934,1910
149,1983,1934
150,1959,1984
151,1959,1959
152,2008,1959
153,1959,1959
154,1959,1959
155,1983,1934
156,1959,1984
157,2008,1959
158,2008,1984
159,1984,2008
160,1959,1959
161,1959,1959
162,1959,1959
163,1959,1959
164,1934,1959
165,1959,1959
166,1959,1959
167,1959,1934
168,1984,1935
169,1984,1983
170,1935,1935
171,1935,1935
172,1934,1934
173,1959,1934
174,1935,1935
175,1959,1935
176,1959,1934
177,1959,1935
178,1934,1934
179,1935,1935
180,1959,1959
181,1935,1959
182,1959,1934
183,1959,1959
184,1984,1959
185,1959,2008
186,1959,1959
187,2008,1959
188,1959,1984
189,1934,1934
190,2008,1959
191,1935,1984
192,1934,1935
193,1934,1934
194,1935,1959
195,1934,1934
196,1935,1959
197,1959,1959
198,1959,1934
199,1959,1935
200,1934,1934
201,1935,1935
202,1959,1959
203,1959,1934
204,1959,1959
205,1935,1934
206,1984,1935
207,1959,1983
208,1959,1959
209,1959,1959
210,1959,1959
211,1934,1934
212,1984,1935
213,1984,2008
214,1959,1959
215,1935,1959
216,1959,1959
217,1984,1935
218,1959,2008
219,1959,1934
220,1935,1959
221,1935,1935
222,1934,1959
223,1959,1934
224,1959,1935
225,1959,1959
226,1935,1935
227,1959,1959
228,1935,1959
229,1959,1935
230,1934,1934
231,1959,1934
232,1959,1935
233,1934,1934
234,1959,1959
235,1935,1935
236,1934,1934
237,1934,1934
238,1935,1959
239,1959,1935
240,1934,1934
241,1959,1934
242,1935,1935
243,1959,1959
244,1959,1959
245,1935,1935
246,2008,1959
247,1959,1959
248,1959,1959
249,1984,1959
250,1934,1959
251,1984,1983
252,1959,1959
253,1959,1959
254,1959,1935
255,1934,1934
256,1959,1959
257,1959,1934
258,1935,1935
259,1934,1959
260,1935,1935
261,1959,1934
262,1959,1935
263,1959,1934
264,1959,1935
265,1959,1934
266,2204,2106
267,2179,2155
268,1959,1984
269,1959,1959
270,1959,1935
271,1959,1935
272,1959,1934
273,1935,1935
274,1934,1959
275,1935,1935
276,1934,1959
277,1959,1934
278,1959,1935
