attempt,thread_1_round_trip_nano,thread_2_round_trip_nano
0,119094,3184
1,6002,5953
2,5830,5463
3,5609,6002
4,5609,5487
5,5487,5413
6,5561,5609
7,5561,5609
8,5512,5487
9,5291,5365
10,5315,5365
11,5217,5218
12,5193,5218
13,5169,5218
14,5267,5193
15,5144,5193
16,5536,5218
17,5218,5487
18,5144,5193
19,5267,5217
20,5242,5217
21,5217,5291
22,5315,5267
23,5242,5291
24,5267,5144
25,5242,5316
26,5854,5169
27,5462,6149
28,5242,5267
29,5487,5512
30,7104,5193
31,6247,7619
32,5414,5781
33,5634,5462
34,5340,5585
35,5266,5267
36,5487,5438
37,5267,5413
38,5242,5217
39,5242,5242
40,5340,5217
41,5315,5389
42,5193,5193
43,5169,5168
44,5218,5217
45,5218,5291
46,5218,5193
47,5218,5193
48,5267,5193
49,5193,5266
50,5144,5193
51,5218,5120
52,5169,5218
53,5193,5218
54,5217,5242
55,5242,5242
56,5365,5193
57,5218,5291
58,5169,5218
59,5267,5193
60,5193,5242
61,5266,5267
62,5217,5267
63,5217,5242
64,5364,5168
65,5217,5364
66,5144,5119
67,5218,5242
68,5144,5169
69,5169,5218
70,5242,5218
71,5217,5169
72,5364,5291
73,5217,5315
74,5291,5242
75,5169,5218
76,5193,5144
77,5193,5266
78,5169,5193
79,5218,5193
80,5291,5193
81,5217,5267
82,5217,5218
83,5266,5266
84,5266,5193
85,5193,5267
86,5267,5267
87,5291,5291
88,5242,5242
89,5267,5218
90,5242,5242
91,5217,5242
92,5217,5218
93,5144,5218
94,5291,5218
95,5340,5340
96,5218,5242
97,5193,5193
98,5217,5217
99,5242,5168
100,5267,5266
101,5193,5266
102,5193,5169
103,5267,5291
104,5365,5242
105,5242,5291
106,5193,5242
107,5242,5218
108,5169,5242
109,5218,5168
110,5316,5340
111,5242,5291
112,5291,5168
113,5291,5340
114,5144,5169
115,5218,5169
116,5169,5267
117,5218,5193
118,5267,5217
119,5218,5242
120,5291,5218
121,5193,5340
122,5218,5070
123,5169,5242
124,5242,5218
125,5217,5267
126,5217,5242
127,5193,5168
128,5316,5193
129,5169,5267
130,5267,5218
131,5144,5193
132,5266,5193
133,5242,5291
134,5242,5315
135,5193,5193
136,5217,5193
137,5242,5266
138,5218,5144
139,5193,5267
140,5242,5169
141,5169,5267
142,5291,5267
143,5266,5218
144,5217,5267
145,5217,5169
146,5168,5193
147,5242,5193
148,5169,5193
149,5218,5267
150,5193,5120
151,5291,5316
152,5242,5218
153,5242,5242
154,5218,5242
155,5267,5218
156,5242,5242
157,5193,5242
158,5267,5242
159,5267,5315
160,5193,5144
161,5266,5291
162,5193,5168
163,5242,5217
164,5193,5242
165,5242,5218
166,5217,5193
167,5217,5266
168,5242,5217
169,5169,5169
170,5193,5169
171,5242,5193
172,5169,5242
173,5267,5291
174,5193,5217
175,5242,5168
176,5242,5242
177,5266,5267
178,5217,5218
179,5193,5218
180,5267,5218
181,5242,5267
182,5242,5267
183,5267,5291
184,5218,5193
185,5169,5169
186,5242,5169
187,5193,5242
188,5218,5168
189,5218,5266
190,5267,5193
191,5242,5267
192,5315,5315
193,5217,5193
194,5218,5193
195,5169,5218
196,5242,5218
197,5168,5242
198,5169,5168
199,5218,5168
200,5242,5242
201,5168,5193
202,5144,5144
203,5193,5193
204,5217,5168
205,5144,5217
206,5242,5217
207,5193,5242
208,5218,5144
209,5242,5242
210,5193,5193
211,5218,5193
212,5193,5242
213,5291,5267
214,5242,5218
215,5242,5291
216,5193,5168
217,5242,5242
218,5218,5144
219,5267,5242
220,5169,5267
221,5267,5267
222,5267,5291
223,5266,5242
224,5168,5169
225,5242,5242
226,5144,5168
227,5217,5193
228,5193,5218
229,5218,5218
230,5169,5193
231,5291,5242
232,5168,5193
233,5267,5242
234,5218,5217
235,5169,5217
236,5218,5193
237,5144,5193
238,5217,5144
239,5217,5218
240,5193,5242
241,5218,5168
242,5144,5168
243,5193,5144
244,5193,5242
245,5217,5242
246,5266,5242
247,5218,5217
248,5242,5217
249,5217,5242
250,5242,5291
251,5193,5119
252,5242,5266
253,5218,5266
254,5169,5144
255,5218,5242
256,5291,5217
257,5217,5217
258,5242,5217
259,5218,5266
260,5218,5242
261,5242,5242
262,5340,5340
263,5169,5169
264,5242,5218
265,5193,5242
266,5267,5193
267,5193,5242
268,5242,5217
269,5291,5315
270,5242,5242
271,5291,5267
272,5242,5193
273,5242,5291
274,5242,5242
275,5242,5217
276,5217,5242
277,5291,5291
278,5242,5291
279,5242,5218
280,5193,5193
281,5242,5193
282,5169,5193
283,5169,5193
284,5218,5193
285,5242,5266
286,5168,5217
287,5193,5119
288,5193,5242
289,5266,5193
290,5193,5217
291,5169,5144
292,5169,5218
293,5169,5218
294,5193,5144
295,5291,5291
296,5218,5218
297,5193,5169
298,5168,5242
299,5168,5095
300,5144,5193
301,5242,5217
302,5267,5316
303,5193,5193
304,5242,5217
305,5193,5168
306,5242,5242
307,5169,5144
308,5193,5242
309,5267,5217
310,5193,5242
311,5193,5169
312,5193,5242
313,5193,5242
314,5315,5169
315,5144,5242
316,5218,5193
317,5193,5218
318,5242,5267
319,5267,5169
320,5242,5242
321,5217,5266
322,5266,5217
323,5144,5217
324,5267,5168
325,5218,5315
326,5267,5266
327,5242,5242
328,5340,5267
329,5218,5267
330,5193,5169
331,5119,5193
332,5193,5144
333,5193,5242
334,5242,5168
335,5144,5217
336,5266,5217
337,5217,5217
338,5217,5217
339,5193,5168
340,5242,5291
341,5193,5218
342,5218,5193
343,5267,5242
344,5316,5291
345,5218,5242
346,5169,5193
347,5193,5168
348,5291,5242
349,5242,5291
350,5217,5242
351,5217,5218
352,5267,5169
353,5193,5316
354,5119,5095
355,5242,5218
356,5218,5242
357,5267,5217
358,5193,5242
359,5242,5218
360,5218,5193
361,5218,5266
362,5267,5217
363,5193,5193
364,5242,5291
365,5218,5242
366,5169,5193
367,5217,5168
368,5242,5193
369,5169,5267
370,5242,5169
371,5169,5267
372,5217,5169
373,5242,5316
374,5242,5242
375,5144,5095
376,5316,5267
377,5242,5218
378,5193,5291
379,5144,5119
380,5193,5168
381,5144,5217
382,5217,5119
383,5266,5315
384,5266,5242
385,5193,5267
386,5218,5169
387,5169,5144
388,5242,5242
389,5168,5242
390,5291,5266
391,5242,5266
392,5266,5144
393,5144,5242
394,5169,5168
395,5218,5193
396,5193,5193
397,5266,5266
398,5315,5291
399,5266,5340
400,5267,5168
401,5218,5291
402,5291,5291
403,5266,5242
404,5266,5316
405,5266,5242
406,5291,5291
407,5267,5291
408,5365,5291
409,5218,5291
410,5169,5144
411,5218,5193
412,5218,5291
413,5291,5267
414,5266,5267
415,5217,5218
416,5266,5218
417,5242,5291
418,5291,5218
419,5242,5242
420,5193,5242
421,5316,5291
422,5193,5266
423,5242,5168
424,5340,5291
425,5242,5291
426,5267,5242
427,5168,5291
428,5217,5144
429,5315,5365
430,5217,5267
431,5266,5218
432,5315,5267
433,5217,5242
434,5217,5193
435,5193,5242
436,5218,5168
437,5267,5340
438,5242,5218
439,5291,5267
440,5267,5242
441,5316,5364
442,5193,5168
443,5267,5266
444,5267,5242
445,5267,5316
446,5242,5291
447,5267,5242
448,5316,5316
449,5291,5267
450,5193,5218
451,5193,5218
452,5242,5218
453,5218,5242
454,5291,5315
455,5242,5193
456,5340,5340
457,5291,5242
458,5266,5291
459,5193,5217
460,5291,5242
461,5169,5266
462,5291,5242
463,5193,5218
464,5340,5365
465,5389,5414
466,5193,5193
467,5242,5217
468,5193,5193
469,5242,5291
470,5242,5217
471,5340,5340
472,5291,5267
473,5267,5242
474,5218,5217
475,5291,5315
476,5315,5291
477,5315,5340
478,5217,5168
479,5242,5266
480,5267,5315
481,5242,5193
482,5218,5291
483,5267,5193
484,5242,5316
485,5217,5242
486,5267,5242
487,5291,5316
488,5242,5218
489,5267,5242
490,5267,5315
491,5242,5193
492,5291,5291
493,5267,5315
494,5291,5266
495,5315,5315
496,5315,5242
497,5291,5365
498,5242,5217
499,5242,5242
500,5218,5169
501,5267,5340
502,5291,5242
503,5266,5340
504,5266,5217
505,5242,5242
506,5169,5169
507,5242,5218
508,5193,5267
509,5291,5267
510,5315,5291
511,5340,5364
512,5340,5218
513,5266,5291
514,5217,5218
515,5291,5242
516,5242,5315
517,5266,5266
518,5291,5315
519,5242,5193
520,5242,5242
521,5193,5242
522,5217,5193
523,5242,5242
524,5242,5267
525,5266,5242
526,5217,5291
527,5242,5193
528,5340,5266
529,5291,5340
530,5291,5218
531,5217,5242
532,5242,5266
533,5291,5291
534,5291,5316
535,5218,5169
536,5316,5365
537,5267,5291
538,5242,5193
539,5267,5316
540,5218,5242
541,5267,5291
542,5267,5291
543,5316,5242
544,5291,5242
545,5242,5315
546,5218,5193
547,5193,5242
548,5217,5217
549,5242,5266
550,5193,5168
551,5291,5291
552,5267,5218
553,5242,5340
554,5266,5217
555,5242,5266
556,5291,5266
557,5242,5291
558,5315,5316
559,5217,5193
560,5291,5266
561,5242,5266
562,5340,5315
563,5217,5266
564,5242,5242
565,5340,5340
566,5340,5364
567,5291,5217
568,5340,5364
569,5291,5340
570,5168,5169
571,5217,5242
572,5193,5119
573,5217,5315
574,5291,5291
575,5242,5242
576,5242,5217
577,5267,5217
578,5193,5193
579,5217,5267
580,5217,5193
581,5242,5291
582,5242,5193
583,5266,5291
584,5193,5193
585,5291,5193
586,5168,5266
587,5217,5144
588,5217,5242
589,5242,5291
590,5291,5218
591,5266,5340
592,5291,5193
593,5267,5291
594,5193,5218
595,5266,5193
596,5266,5291
597,5266,5316
598,5242,5242
599,5144,5193
600,5291,5218
601,5218,5193
602,5218,5266
603,5242,5193
604,5266,5316
605,5193,5193
606,5267,5266
607,5267,5266
608,5267,5193
609,5218,5267
610,5218,5218
611,5169,5193
612,5218,5193
613,5242,5242
614,5340,5364
615,5242,5217
616,5217,5242
617,5266,5291
618,5266,5193
619,5217,5242
620,5217,5217
621,5242,5291
622,5340,5340
623,5267,5266
624,5291,5266
625,5266,5266
626,5217,5168
627,5242,5267
628,5218,5218
629,5267,5291
630,5242,5266
631,5266,5193
632,5340,5389
633,5267,5217
634,5267,5217
635,5193,5266
636,5291,5291
637,5218,5242
638,5242,5242
639,5266,5242
640,5242,5242
641,5242,5267
642,5242,5218
643,5144,5218
644,5242,5144
645,5217,5315
646,5291,5291
647,5193,5169
648,5266,5267
649,5217,5169
650,5217,5267
651,5144,5169
652,5266,5218
653,5217,5291
654,5266,5217
655,5266,5291
656,5242,5218
657,5291,5291
658,5218,5217
659,5267,5315
660,5218,5217
661,5291,5291
662,5242,5218
663,5267,5291
664,5267,5266
665,5291,5291
666,5193,5218
667,5316,5242
668,5144,5217
669,5266,5266
670,5168,5168
671,5266,5242
672,5144,5120
673,5193,5193
674,5193,5169
675,5217,5218
676,5291,5316
677,5267,5267
678,5267,5242
679,5242,5315
680,5193,5168
681,5267,5266
682,5242,5193
683,5217,5242
684,5217,5242
685,5291,5291
686,5242,5242
687,5242,5218
688,5193,5218
689,5217,5267
690,5242,5120
691,5169,5218
692,5267,5267
693,5218,5267
694,5316,5316
695,5291,5218
696,5266,5316
697,5291,5242
698,5267,5266
699,5169,5217
700,5267,5242
701,5267,5291
702,5267,5266
703,5218,5169
704,5218,5242
705,5291,5291
706,5193,5193
707,5193,5242
708,5193,5144
709,5242,5291
710,5316,5316
711,5291,5267
712,5242,5242
713,5267,5217
714,5218,5242
715,5316,5340
716,5316,5242
717,5218,5340
718,5266,5217
719,5266,5266
720,5291,5266
721,5267,5315
722,5169,5193
723,5242,5169
724,5217,5242
725,5242,5291
726,5267,5218
727,5193,5218
728,5389,5389
729,5242,5168
730,5217,5266
731,5193,5217
732,5267,5242
733,5267,5291
734,5242,5217
735,5217,5266
736,5266,5266
737,5217,5193
738,5218,5242
739,5291,5217
740,5242,5291
741,5218,5242
742,5291,5291
743,5242,5242
744,5242,5217
745,5242,5267
746,5217,5218
747,5266,5242
748,5217,5193
749,5242,5291
750,5242,5266
751,5340,5364
752,5242,5144
753,5291,5389
754,5242,5193
755,5218,5193
756,5218,5242
757,5266,5266
758,5242,5217
759,5267,5340
760,5316,5267
761,5242,5267
762,5217,5193
763,5242,5217
764,5218,5266
765,5242,5217
766,5340,5389
767,5267,5218
768,5218,5218
769,5218,5217
770,5169,5144
771,5217,5218
772,5266,5267
773,5291,5316
774,5267,5340
775,5316,5217
776,5242,5291
777,5340,5316
778,5242,5242
779,5242,5266
780,5291,5242
781,5291,5316
782,5267,5316
783,5267,5242
784,5267,5217
785,5291,5340
786,5315,5242
787,5242,5315
788,5193,5193
789,5242,5267
790,5267,5267
791,5242,5144
792,5266,5340
793,5291,5267
794,5193,5218
795,5242,5267
796,5266,5218
797,5242,5291
798,5218,5218
799,5267,5242
800,5291,5291
801,5218,5218
802,5242,5218
803,5217,5291
804,5266,5217
805,5291,5315
806,5267,5242
807,5267,5242
808,5291,5340
809,5389,5340
810,5267,5242
811,5218,5242
812,5242,5242
813,5242,5316
814,5340,5291
815,5193,5193
816,5340,5340
817,5266,5218
818,5217,5267
819,5242,5218
820,5169,5169
821,5267,5340
822,5267,5217
823,5267,5291
824,5242,5193
825,5266,5242
826,5217,5218
827,5242,5291
828,5218,5168
829,5267,5340
830,5291,5242
831,5242,5193
832,5316,5315
833,5316,5291
834,5218,5291
835,5218,5193
836,5218,5242
837,5242,5266
838,5291,5242
839,5218,5267
840,5389,5340
841,5291,5266
842,5218,5291
843,5242,5169
844,5266,5267
845,5217,5316
846,5266,5218
847,5217,5242
848,5340,5217
849,5267,5340
850,5218,5242
851,5218,5193
852,5217,5218
853,5291,5291
854,5291,5266
855,5193,5291
856,5266,5193
857,5266,5340
858,5217,5193
859,5266,5218
860,5193,5267
861,5242,5218
862,5217,5218
863,5291,5267
864,5340,5267
865,5168,5291
866,5291,5217
867,5242,5242
868,5242,5291
869,5242,5242
870,5193,5218
871,5316,5291
872,5365,5242
873,5291,5414
874,5217,5193
875,5291,5266
876,5267,5291
877,5242,5242
878,5266,5316
879,5242,5193
880,5340,5266
881,5193,5315
882,5291,5193
883,5193,5218
884,5169,5193
885,5193,5193
886,5291,5291
887,5291,5266
888,5266,5242
889,5242,5267
890,5242,5218
891,5218,5267
892,5242,5193
893,5266,5364
894,5266,5266
895,5315,5266
896,5291,5242
897,5242,5316
898,5242,5217
899,5217,5242
900,5217,5169
901,5266,5316
902,5242,5291
903,5291,5217
904,5340,5315
905,5218,5242
906,5218,5218
907,5242,5242
908,5193,5193
909,5193,5267
910,5217,5193
911,5217,5218
912,5291,5267
913,5316,5242
914,5218,5266
915,5193,5193
916,5217,5267
917,5266,5291
918,5217,5168
919,5266,5291
920,5315,5267
921,5217,5218
922,5193,5267
923,5242,5169
924,5266,5316
925,5315,5340
926,5266,5242
927,5169,5267
928,5365,5242
929,5340,5364
930,5266,5291
931,5242,5267
932,5242,5242
933,5266,5340
934,5291,5267
935,5242,5291
936,5266,5217
937,5217,5266
938,5193,5168
939,5291,5242
940,5242,5242
941,5242,5291
942,5242,5217
943,5316,5315
944,5291,5193
945,5266,5315
946,5193,5193
947,5316,5242
948,5267,5315
949,5267,5266
950,5242,5315
951,5266,5242
952,5291,5242
953,5242,5266
954,5242,5291
955,5266,5193
956,5217,5291
957,5315,5267
958,5291,5267
959,5242,5365
960,5266,5169
961,5266,5291
962,5266,5266
963,5242,5193
964,5291,5340
965,5364,5364
966,5340,5340
967,5291,5316
968,5242,5193
969,5218,5266
970,5291,5242
971,5315,5291
972,5266,5291
973,5291,5316
974,5291,5291
975,5340,5315
976,5218,5193
977,5218,5267
978,5218,5193
979,5218,5218
980,5266,5267
981,5266,5267
982,5193,5242
983,5242,5242
984,5291,5217
985,5291,5315
986,5217,5193
987,5242,5218
988,5242,5316
989,5242,5267
990,5340,5291
991,5291,5315
992,5291,5266
993,5291,5340
994,5242,5193
995,5242,5266
996,5193,5217
997,5315,5315
998,5291,5315
999,5316,5315
1000,5242,5168
1001,5291,5364
1002,5267,5217
1003,5267,5291
1004,5242,5218
1005,5340,5340
1006,5242,5291
1007,5291,5242
1008,5218,5242
1009,5267,5267
1010,5193,5169
1011,5217,5267
1012,5266,5218
1013,5217,5291
1014,5266,5217
1015,5266,5242
1016,5193,5267
1017,5267,5169
1018,5193,5218
1019,5266,5267
1020,5242,5242
1021,5242,5316
1022,5242,5218
1023,5242,5193
1024,5266,5266
1025,5266,5242
1026,5291,5291
1027,5218,5217
1028,5316,5291
1029,5267,5316
1030,5291,5316
1031,5242,5218
1032,5291,5316
1033,5340,5267
1034,5267,5267
1035,5218,5291
1036,5242,5193
1037,5242,5340
1038,5266,5242
1039,5291,5266
1040,5267,5218
1041,5291,5242
