attempt,thread_1_round_trip_nano,thread_2_round_trip_nano
0,106672,391
1,1984,2057
2,1984,1984
3,1983,1984
4,1983,1984
5,1983,1983
6,2008,1983
7,1984,1959
8,1984,1959
9,2008,1984
10,2008,1983
11,2033,1983
12,2596,2670
13,2032,1934
14,2032,2008
15,2032,2008
16,1983,2033
17,2008,1959
18,1983,2008
19,1983,1984
20,2008,1983
21,2033,1983
22,2033,2008
23,1983,2033
24,1983,2008
25,2008,1983
26,2008,2032
27,2033,1959
28,1984,2008
29,1984,1959
30,1983,1959
31,2008,2008
32,1984,1983
33,1984,1959
34,1983,1984
35,2032,2008
36,1983,2008
37,1984,1983
38,1984,1959
39,1984,1959
40,1983,1984
41,1984,1983
42,2008,1983
43,2008,1984
44,2008,2008
45,1983,1984
46,1983,1984
47,1984,1983
48,2008,1983
49,3894,3086
50,2596,2816
51,2008,2596
52,4188,4189
53,2008,1983
54,3135,3110
55,2008,2008
56,2008,1984
57,1983,2008
58,2596,2596
59,2375,2375
60,1983,1984
61,1984,1983
62,2694,1959
63,2032,2670
64,2130,2130
65,2008,1984
66,1983,2008
67,2008,1959
68,1983,1983
69,1983,1984
70,2008,2008
71,2008,2008
72,2008,1984
73,2008,1983
74,2008,1959
75,2253,2278
76,2449,1959
77,2180,2596
78,2229,2204
79,2400,2400
80,2180,1959
81,1983,2204
82,1984,1983
83,2719,2008
84,2008,2694
85,1983,1984
86,1984,1959
87,1984,1984
88,3233,3233
89,2032,1984
90,2302,2302
91,3061,3086
92,1984,1984
93,1984,1983
94,1984,1983
95,1983,1984
96,1983,1984
97,1983,1984
98,1983,1983
99,2008,1959
100,2008,2032
101,1984,1959
102,2008,1959
103,1984,2008
104,2008,1983
105,1983,2008
106,2008,2008
107,2008,1983
108,2008,1984
109,1984,1983
110,2008,2008
111,2032,1959
112,2008,2008
113,2008,1983
114,2032,2008
115,1983,2008
116,2008,2008
117,1984,1983
118,2008,1983
119,1983,1984
120,2032,1984
121,1983,2008
122,2008,2008
123,1984,1983
124,2008,2008
125,1983,1984
126,2032,1983
127,1983,2008
128,2032,1984
129,1983,2033
130,2008,2008
131,1984,1983
132,2008,1959
133,1983,1984
134,2008,1984
135,1984,1983
136,1983,1984
137,1983,1984
138,1983,1984
139,1984,1959
140,1983,2008
141,1983,1984
142,1983,1959
143,2008,1984
144,1984,1983
145,1984,1983
146,2008,1983
147,2008,2008
148,1983,1984
149,2008,1984
150,2008,2033
151,1983,1984
152,2008,2008
153,1984,1983
154,1983,1959
155,1983,1984
156,1983,1959
157,1984,1984
158,1984,1983
159,1984,1959
160,1984,1959
161,1984,1983
162,1983,1984
163,2008,1983
164,1984,1983
165,1984,1983
166,2008,1959
167,2033,2008
168,1984,2032
169,1983,1984
170,2032,2008
171,2008,2008
172,1984,2008
173,1984,1983
174,2008,2008
175,1983,1984
176,2008,2008
177,1983,2008
178,1984,1983
179,2008,1959
180,1984,2008
181,1983,1984
182,2008,1984
183,1983,2008
184,2008,1984
185,2008,1983
186,1983,1984
187,2008,1984
188,2008,1983
189,1983,1984
190,2008,2008
191,2008,2032
192,1984,2008
193,2008,1983
194,2032,1984
195,2008,2032
196,1984,1983
197,1984,1983
198,1984,1983
199,1984,1983
200,2008,1959
201,1983,1959
202,1983,1984
203,1983,1984
204,1983,1984
205,2008,1959
206,2008,2033
207,1983,1984
208,1983,1959
209,1984,1983
210,1983,1983
211,1983,1984
212,1983,1984
213,1984,1983
214,2008,1959
215,1983,1959
216,1983,1984
217,1959,1984
218,1984,1983
219,1984,1983
220,2033,1983
221,1959,1984
222,1984,1983
223,1984,1983
224,2008,1983
225,1984,2008
226,2008,1983
227,2032,2008
228,1983,2008
229,1984,1984
230,1984,1983
231,1984,1983
232,2033,1984
233,2008,2008
234,2008,1984
235,2032,2008
236,1983,2008
237,1983,1984
238,2008,1984
239,1959,1959
240,1984,1983
241,2008,2008
242,2008,2033
243,1983,1984
244,1984,1983
245,1984,1983
246,2033,2008
247,2008,2033
248,2032,1984
249,2008,2008
250,1983,2033
251,2008,2008
252,2033,1983
253,1984,2032
254,2008,1983
255,2008,1984
256,2008,2033
257,2008,1984
258,1984,1959
259,2008,1983
260,1983,2008
261,2008,2008
262,1984,2032
263,2008,1983
264,2008,2032
265,1984,1983
266,1983,1959
267,1983,1984
268,2008,2008
269,1984,1983
270,1983,1959
271,1983,1984
272,1983,1984
273,2032,2008
274,1983,2008
275,2008,1984
276,1984,1983
277,1984,1983
278,1984,1983
279,1983,2008
280,1983,1984
281,2008,1983
282,1984,1983
283,1983,1984
284,1983,1984
285,1959,1984
286,1983,1959
287,1984,1983
288,2008,1983
289,2057,2032
290,1984,2008
291,1984,1959
292,2032,1984
293,1983,2008
294,1983,1984
295,2008,1984
296,2008,1983
297,1983,1984
298,1983,1984
299,1984,2008
300,2033,1959
301,2033,2008
302,1984,2008
303,2008,1959
304,1983,1984
305,2008,2008
306,1983,1984
307,1983,1984
308,1983,1959
309,1984,1959
310,1984,1983
311,2008,2008
312,2032,2008
313,1983,2008
314,1983,1984
315,1983,1959
316,2032,1984
317,1983,2008
318,1983,1984
319,2008,1984
320,1983,2008
321,1983,1984
322,1983,1984
323,1984,1984
324,1984,1959
325,1984,1983
326,1984,1983
327,1984,1983
328,1983,1984
329,1984,1984
330,1984,1983
331,1983,1984
332,1983,1959
333,1983,1984
334,1984,1984
335,1959,1959
336,1984,1983
337,1984,1983
338,1984,1983
339,2033,1984
340,1983,2033
341,1983,1959
342,1984,1984
343,2008,1959
344,2008,2008
345,2008,2033
346,1983,1984
347,1983,1959
348,1984,1983
349,1984,1983
