attempt,thread_1_round_trip_nano,thread_2_round_trip_nano
0,176375,1224
1,5463,5830
2,5340,5193
3,5340,5389
4,5463,5413
5,5512,5438
6,5536,5463
7,5487,5511
8,5291,5389
9,5266,5193
10,5364,5389
11,5242,5218
12,5561,5315
13,5316,5512
14,5291,5242
15,5340,5291
16,5365,5291
17,6761,5536
18,5732,7006
19,5658,5585
20,5560,5634
21,6124,5511
22,7374,7839
23,5242,5291
24,5487,5414
25,5389,5438
26,5315,5291
27,5315,5266
28,5658,5609
29,5316,5340
30,5266,5242
31,5315,5266
32,5487,5340
33,5291,5364
34,5291,5291
35,5266,5242
36,5316,5291
37,5291,5266
38,5266,5316
39,5267,5217
40,5389,5291
41,5291,5340
42,5291,5267
43,5291,5218
44,5340,5340
45,5340,5315
46,5291,5267
47,5291,5315
48,5218,5193
49,5291,5316
50,5218,5193
51,5267,5266
52,5267,5169
53,5266,5316
54,5267,5217
55,5267,5267
56,5634,5242
57,6296,6614
58,5266,5340
59,5291,5217
60,5316,5316
61,5267,5217
62,5365,5315
63,5291,5267
64,5316,5266
65,5242,5267
66,5266,5242
67,5291,5291
68,5291,5242
69,5291,5340
70,5267,5193
71,5266,5267
72,5218,5242
73,5315,5266
74,5291,5291
75,5340,5315
76,5291,5291
77,5267,5218
78,5242,5242
79,5242,5193
80,5316,5291
81,5267,5217
82,5315,5365
83,5316,5291
84,5340,5291
85,5217,5242
86,5291,5242
87,5291,5266
88,5340,5291
89,5291,5316
90,5315,5291
91,5316,5315
92,5291,5242
93,5291,5316
94,5266,5217
95,5267,5316
96,5193,5169
97,5340,5266
98,5291,5291
99,5365,5365
100,5340,5364
101,5340,5267
102,5291,5266
103,5266,5242
104,5267,5316
105,5266,5217
106,5242,5291
107,5291,5218
108,5316,5340
109,5266,5266
110,5267,5242
111,5291,5267
112,5340,5266
113,5291,5316
114,5291,5291
115,5266,5242
116,5315,5266
117,5315,5316
118,5291,5266
119,5217,5242
120,5316,5217
121,5291,5340
122,5266,5242
123,5340,5316
124,5340,5315
125,5316,5267
126,5267,5266
127,5267,5218
128,5340,5291
129,5291,5267
130,5291,5364
131,5242,5169
132,5291,5315
133,5315,5242
134,5266,5316
135,5291,5217
136,5291,5242
137,5266,5267
138,5389,5389
139,5364,5340
140,5266,5242
141,5266,5242
142,5340,5315
143,5267,5291
144,5291,5242
145,5242,5267
146,5267,5217
147,5340,5389
148,5291,5242
149,5340,5267
150,5316,5291
151,5291,5267
152,5340,5315
153,5266,5218
154,5315,5364
155,5266,5218
156,5267,5291
157,5266,5242
158,5315,5315
159,5242,5193
160,5340,5266
161,5291,5316
162,5291,5291
163,5316,5266
164,5267,5242
165,5267,5267
166,5267,5193
167,5291,5340
168,5218,5168
169,5218,5218
170,5242,5242
171,5316,5266
172,5218,5193
173,5340,5340
174,5217,5218
175,5266,5217
176,5267,5242
177,5291,5267
178,5291,5291
179,5267,5242
180,5291,5266
181,5291,5267
182,5267,5266
183,5291,5217
184,5266,5291
185,5316,5242
186,5291,5340
187,5266,5218
188,5364,5315
189,5315,5291
190,5291,5291
191,5291,5242
192,5267,5266
193,5365,5316
194,5315,5364
195,5242,5193
196,5364,5365
197,5266,5266
198,5266,5218
199,5291,5267
200,5315,5218
201,5315,5315
202,5315,5340
203,5315,5291
204,5291,5316
205,5315,5217
206,5266,5267
207,5242,5169
208,5242,5242
209,5316,5266
210,5316,5340
211,5291,5242
212,5364,5365
213,5218,5266
214,5291,5218
215,5291,5266
216,5340,5316
217,5291,5291
218,5365,5364
219,5267,5242
220,5316,5291
221,5291,5267
222,5291,5291
223,5242,5242
224,5291,5242
225,5242,5266
226,5291,5242
227,5266,5291
228,5291,5242
229,5291,5266
230,5291,5267
231,5242,5217
232,5291,5291
233,5291,5242
234,5291,5315
235,5340,5316
236,5267,5291
237,5315,5266
238,5364,5365
239,5242,5217
240,5291,5267
241,5291,5266
242,5340,5340
243,5291,5242
244,5364,5340
245,5266,5316
246,5218,5168
247,5242,5267
248,5291,5193
249,5266,5315
250,5291,5242
251,5266,5291
252,5291,5291
253,5340,5267
254,5242,5242
255,5315,5242
256,5267,5291
257,5266,5267
258,5291,5266
259,5291,5291
260,5291,5291
261,5291,5266
262,5267,5242
263,5242,5193
264,5291,5316
265,5242,5242
266,5217,5217
267,5266,5242
268,5340,5267
269,5316,5315
270,5315,5316
271,5291,5266
272,5266,5242
273,5291,5291
274,5291,5266
275,5316,5291
276,5340,5316
277,5291,5291
278,5267,5217
279,5291,5266
280,5315,5267
281,5316,5364
282,5291,5267
283,5266,5291
284,5316,5291
285,5217,5217
286,5266,5267
287,5266,5193
288,5266,5242
289,5291,5218
290,5315,5340
291,5242,5242
292,5267,5242
293,5291,5267
294,5266,5242
295,5315,5266
296,5242,5242
297,5291,5266
298,5242,5291
299,5315,5291
300,5291,5218
301,5316,5315
302,5267,5242
303,5266,5291
304,5315,5267
305,5266,5266
306,5291,5242
307,5291,5291
308,5291,5242
309,5291,5291
310,5291,5242
311,5242,5217
312,5364,5340
313,5291,5242
314,5266,5340
315,5291,5242
316,5267,5266
317,5291,5242
318,5316,5291
319,5291,5267
320,5291,5266
321,5267,5242
322,5266,5291
323,5291,5242
324,5267,5242
325,5267,5267
326,5291,5242
327,5315,5340
328,5291,5242
329,5267,5291
330,5242,5217
331,5365,5340
332,5266,5218
333,5364,5340
334,5291,5266
335,5267,5267
336,5364,5266
337,5291,5291
338,5316,5291
339,5316,5315
340,5291,5316
341,5218,5193
342,5340,5364
343,5242,5169
344,5315,5340
345,5267,5242
346,5291,5291
347,5291,5266
348,5266,5242
349,5266,5242
350,5242,5242
351,5267,5267
352,5340,5242
353,5217,5291
354,5291,5266
355,5291,5242
356,5267,5218
357,5316,5340
358,5267,5242
359,5291,5218
360,5316,5291
361,5266,5291
362,5364,5389
363,5291,5242
364,5316,5315
365,5364,5316
366,5266,5315
367,5242,5193
368,5316,5266
369,5266,5267
370,5364,5364
371,5315,5291
372,5266,5267
373,5315,5266
374,5242,5242
375,5266,5242
376,5364,5291
377,5217,5242
378,5291,5291
379,5340,5316
380,5316,5266
381,5291,5291
382,5266,5242
383,5266,5242
384,5316,5267
385,5267,5266
386,5316,5291
387,5267,5267
388,5266,5291
389,5365,5291
390,5316,5291
391,5242,5217
392,5340,5365
393,5242,5218
394,5340,5315
395,5291,5267
396,5291,5266
397,5267,5267
398,5413,5389
399,5266,5266
400,5242,5193
401,5267,5217
402,5242,5242
403,5340,5315
404,5291,5242
405,5291,5291
406,5242,5193
407,5242,5266
408,5315,5218
409,5266,5315
410,5291,5267
411,5242,5291
412,5266,5217
413,5315,5267
414,5266,5266
415,5315,5267
416,5340,5364
417,5316,5242
418,5267,5316
419,5267,5217
420,5267,5291
421,5242,5168
422,5316,5291
423,5267,5267
424,5340,5291
425,5291,5267
426,5242,5242
427,5365,5340
428,5242,5217
429,5291,5242
430,5266,5217
431,5291,5340
432,5315,5242
433,5291,5316
434,5217,5217
435,5316,5365
436,5315,5242
437,5315,5291
438,5291,5315
439,5242,5169
440,5364,5291
441,5315,5315
442,5340,5316
443,5242,5242
444,5291,5315
445,5242,5218
446,5267,5266
447,5242,5218
448,5291,5291
449,5242,5169
450,5266,5364
451,5316,5242
452,5267,5242
453,5315,5316
454,5218,5242
455,5291,5266
456,5340,5291
457,5291,5291
458,5242,5267
459,5266,5266
460,5266,5218
461,5315,5315
462,5242,5193
463,5291,5291
464,5389,5365
465,5242,5266
466,5291,5242
467,5291,5291
468,5340,5291
469,5291,5242
470,5291,5315
471,5242,5193
472,5291,5291
473,5291,5218
474,5389,5413
475,5316,5291
476,5291,5291
477,5315,5267
478,5267,5242
479,5291,5291
480,5266,5217
481,5291,5291
482,5316,5316
483,5315,5340
484,5266,5193
485,5315,5315
486,5242,5218
487,5266,5266
488,5340,5242
489,5291,5340
490,5364,5365
491,5266,5291
492,5291,5242
493,5315,5266
494,5266,5267
495,5242,5242
496,5316,5291
497,5266,5217
498,5291,5316
499,5291,5242
500,5291,5291
