attempt,thread_1_round_trip_nano,thread_2_round_trip_nano
0,62106,293
1,905,881
2,856,857
3,758,857
4,611,612
5,611,661
6,636,538
7,612,611
8,612,611
9,612,587
10,636,612
11,783,758
12,661,636
13,685,710
14,636,587
15,612,611
16,612,611
17,636,612
18,611,612
19,636,685
20,612,562
21,685,710
22,660,612
23,660,661
24,660,661
25,636,636
26,612,611
27,685,709
28,660,685
29,636,636
30,661,611
31,661,636
32,611,612
33,636,612
34,612,611
35,661,685
36,636,587
37,660,734
38,685,636
39,636,587
40,685,636
41,661,660
42,661,660
43,636,636
44,611,612
45,660,661
46,660,661
47,660,636
48,612,636
49,612,611
50,612,636
51,636,661
52,612,562
53,636,661
54,611,563
55,660,661
56,660,661
57,636,611
58,612,611
59,636,661
60,660,636
61,660,636
62,660,612
63,660,661
64,660,661
65,660,661
66,660,636
67,636,636
68,612,611
69,661,660
70,611,636
71,611,612
72,636,611
73,612,611
74,612,611
75,685,685
76,611,563
77,685,709
78,636,587
79,636,611
80,661,660
81,661,660
82,661,660
83,636,636
84,636,685
85,636,636
86,661,611
87,661,660
88,661,660
89,661,660
90,636,636
91,685,661
92,611,612
93,636,685
94,661,611
95,636,636
96,660,661
97,611,612
98,611,587
99,685,709
100,636,587
101,660,685
102,660,612
103,660,661
104,660,661
105,660,636
106,660,636
107,685,709
108,612,562
109,636,685
110,660,661
111,660,612
112,636,636
113,612,611
114,661,660
115,636,636
116,660,636
117,660,710
118,611,563
119,660,636
120,636,636
121,612,611
122,636,612
123,660,710
124,660,612
125,636,685
126,661,636
127,612,562
128,612,636
129,660,636
130,660,685
131,636,612
132,636,685
133,636,611
134,636,563
135,611,612
136,660,636
137,660,661
138,660,661
139,636,636
140,661,709
141,661,660
142,661,587
143,661,636
144,685,660
145,611,612
146,660,636
147,660,661
148,661,661
149,661,709
150,661,611
151,661,660
152,661,660
153,661,660
154,661,636
155,661,636
156,660,636
157,660,710
158,636,636
159,636,587
160,611,612
161,611,612
162,636,611
163,636,660
164,611,563
165,636,685
166,661,611
167,661,636
168,661,636
169,611,612
170,611,612
171,636,660
172,685,636
173,636,685
174,661,636
175,661,611
176,612,611
177,661,636
178,636,636
179,636,661
180,612,587
181,661,661
182,612,612
183,636,612
184,611,612
185,611,612
186,612,611
187,636,685
188,611,563
189,685,685
190,636,611
191,611,587
192,661,636
193,612,611
194,636,587
195,611,612
196,611,612
197,660,660
198,636,660
199,661,611
200,661,660
201,636,636
202,611,612
203,636,660
204,636,587
205,636,685
206,636,562
207,611,612
208,611,612
209,636,611
210,612,611
211,636,685
212,611,587
213,661,660
214,661,660
215,661,636
216,636,636
217,661,660
218,661,660
219,612,611
220,661,685
221,660,661
222,660,612
223,660,661
224,660,661
225,636,636
226,661,660
227,661,660
228,636,636
229,636,685
230,661,587
231,612,611
232,636,636
233,611,612
234,611,636
235,636,611
236,612,611
237,685,734
238,660,612
239,611,612
240,660,636
241,660,685
242,661,636
243,661,660
244,612,611
245,661,685
246,636,563
247,611,612
248,612,611
249,612,636
250,636,612
251,660,685
252,611,563
253,685,709
254,661,611
255,612,611
256,661,660
257,612,611
258,636,612
259,660,710
260,636,587
261,661,709
262,661,611
263,612,611
264,661,636
265,661,636
266,661,636
267,636,612
268,611,612
269,685,709
270,661,611
271,636,636
272,611,612
273,636,636
274,612,611
275,636,685
276,636,587
277,636,660
278,636,587
279,612,611
280,636,636
281,611,612
282,636,636
283,636,660
284,660,661
285,660,661
286,660,587
287,685,636
288,661,636
289,661,660
290,661,660
291,636,612
292,611,612
293,685,709
294,661,611
295,636,636
296,611,612
297,611,612
298,636,611
299,636,685
300,636,587
301,636,660
302,636,587
303,612,611
304,636,636
305,611,612
306,611,636
307,660,660
308,660,661
309,660,661
310,660,612
311,660,661
312,661,636
313,661,660
314,661,660
315,636,612
316,611,612
317,660,709
318,685,587
319,636,636
320,611,612
321,611,612
322,636,611
323,636,660
324,636,563
325,636,660
326,636,587
327,612,611
328,636,636
329,611,612
330,611,612
331,636,660
332,660,685
333,660,661
334,660,612
335,660,661
336,685,661
337,661,660
338,661,660
339,636,636
340,611,612
341,660,710
342,685,587
343,612,611
344,611,612
345,611,612
346,636,611
347,636,660
348,636,563
349,636,660
350,611,587
351,636,611
352,612,611
353,636,612
354,611,612
355,636,660
356,685,685
357,660,661
358,660,612
359,660,661
360,685,661
361,661,685
362,661,660
363,636,611
364,611,612
365,660,710
366,685,587
367,612,611
368,636,612
369,611,612
370,636,612
371,636,660
372,611,563
373,660,660
374,611,587
375,636,611
376,612,611
377,636,612
378,611,612
379,636,660
380,661,685
381,685,661
382,660,612
383,660,661
384,685,661
385,661,685
386,661,660
387,612,611
388,611,612
389,660,710
390,660,587
391,612,636
392,636,612
393,611,612
394,611,612
395,660,660
396,611,563
397,660,685
398,611,587
399,636,587
400,612,611
401,636,612
402,611,612
403,636,685
404,661,660
405,685,661
406,660,612
407,660,661
408,685,661
409,661,685
410,661,660
411,612,611
412,636,612
413,660,710
414,660,612
415,636,636
416,636,612
417,611,612
418,611,612
419,660,660
420,636,563
421,612,660
422,661,587
423,636,612
424,660,661
425,660,661
426,660,661
427,660,661
428,636,636
429,636,660
430,660,612
431,660,661
432,660,661
433,636,636
434,661,660
435,661,660
436,685,660
437,660,710
438,660,612
439,660,661
440,660,661
441,660,661
442,660,661
443,660,636
444,685,661
445,661,709
446,636,636
447,611,587
448,636,611
449,612,611
450,636,636
451,660,710
452,660,612
453,660,734
454,660,636
455,660,612
456,660,661
457,636,636
458,661,660
459,661,660
460,636,636
461,660,661
462,660,661
463,660,661
464,636,636
465,612,611
466,661,660
467,661,685
468,612,587
469,636,685
470,660,612
471,636,611
472,636,636
473,660,660
474,661,660
475,661,660
476,661,660
477,661,709
478,661,636
479,612,562
480,661,660
481,661,660
482,661,660
483,661,660
484,636,636
485,636,685
486,612,562
487,636,636
488,660,661
489,660,661
490,660,661
491,611,612
492,636,636
493,636,685
494,660,612
495,660,661
496,660,661
497,660,661
498,660,661
499,636,685
500,611,587
501,636,685
502,661,636
503,660,636
504,660,661
505,636,636
506,612,611
507,612,611
508,636,612
509,660,661
510,611,636
511,612,611
512,612,611
513,636,587
514,611,612
515,660,710
516,636,587
517,636,685
518,660,661
519,660,612
520,660,661
521,660,661
522,660,636
523,660,660
524,612,611
525,636,685
526,660,612
527,612,611
528,636,636
529,636,636
530,661,636
531,636,636
532,660,661
533,660,710
534,636,562
535,612,611
536,636,612
537,611,612
538,636,612
539,612,611
540,612,611
541,661,660
542,661,636
543,661,636
544,611,612
545,611,612
546,636,611
547,636,685
548,636,587
549,612,660
550,636,538
551,636,636
552,660,660
553,660,636
554,611,612
555,636,660
556,636,563
557,660,710
558,660,587
559,660,661
560,685,661
561,612,611
562,636,636
563,636,661
564,636,587
565,636,661
566,661,636
567,612,611
568,636,636
569,660,636
570,660,661
571,636,685
572,661,587
573,661,636
574,661,660
575,636,636
576,636,636
577,636,661
578,660,636
579,611,612
580,660,685
581,660,661
582,636,611
583,661,587
584,636,612
585,636,636
586,612,611
587,636,685
588,611,563
589,685,709
590,661,587
591,661,660
592,661,660
593,636,636
594,611,612
595,636,660
596,636,587
597,636,660
598,661,611
599,636,636
600,611,612
601,660,636
602,660,685
603,660,660
604,611,563
605,660,710
606,660,587
607,685,661
608,661,660
609,636,636
610,611,612
611,636,685
612,636,587
613,636,685
614,661,611
615,636,636
616,611,612
617,660,661
618,660,685
619,636,660
620,636,587
621,660,710
622,660,612
623,660,661
624,685,661
625,612,611
626,636,612
627,685,710
628,685,636
629,758,759
630,807,734
631,807,783
632,832,808
633,906,856
634,930,930
635,930,955
636,905,832
637,1004,1052
638,1004,906
639,1028,979
640,1028,1004
641,954,954
642,955,955
643,1004,1052
644,979,906
645,1004,1028
646,1003,954
647,979,979
648,955,955
649,954,954
650,979,979
651,1003,1053
652,1028,1028
653,1028,1028
654,1028,954
655,1028,1028
656,1053,1028
657,979,979
658,1028,1028
659,1028,1004
660,1077,1077
661,1102,1175
662,1077,1052
663,1126,1028
664,1101,1151
665,1126,1101
666,1126,1126
667,1028,1053
668,1077,1052
669,1126,1200
670,1126,1126
671,1102,1028
672,1052,1052
673,1077,1077
674,1102,1102
675,1126,1126
676,1077,1077
677,1199,1248
678,1199,1249
679,1371,1224
680,1469,1518
681,1420,1518
682,1200,1199
683,1224,1224
684,1224,1200
685,1199,1297
686,1224,1126
687,1224,1199
688,1200,1249
689,1224,1199
690,1150,1151
691,1175,1248
692,1224,1126
693,1200,1298
694,1175,1175
695,1199,1101
696,1200,1224
697,1224,1200
698,1199,1224
699,1175,1248
700,1151,1053
701,1199,1297
702,1224,1126
703,1224,1224
704,1200,1224
705,1199,1200
706,1200,1199
707,1224,1298
708,1150,1077
709,1224,1273
710,1200,1126
711,1199,1200
712,1199,1224
713,1224,1199
714,1224,1224
715,1224,1322
716,1200,1126
717,1150,1151
718,1224,1297
719,1224,1126
720,1200,1224
721,1224,1200
722,1224,1200
723,1199,1200
724,1224,1224
725,1200,1273
726,1224,1224
727,1199,1126
728,1224,1224
729,1200,1199
730,1224,1224
731,1199,1200
732,1200,1175
733,1224,1298
734,1224,1224
735,1199,1126
736,1518,1395
737,1469,1420
738,1347,1420
739,1199,1200
740,1224,1224
741,1175,1248
742,1224,1224
743,1151,1077
744,1199,1200
745,1200,1199
746,1200,1224
747,1224,1224
748,1224,1200
749,1199,1297
750,1249,1249
751,1199,1126
752,1224,1224
753,1224,1224
754,1200,1199
755,1224,1298
756,1151,1101
757,1199,1298
758,1199,1199
759,1224,1126
760,1200,1199
761,1200,1199
762,1199,1224
763,1200,1175
764,1224,1200
765,1199,1297
766,1175,1175
767,1175,1102
768,1224,1199
769,1224,1199
770,1200,1224
771,1224,1322
772,1175,1126
773,1126,1126
774,1224,1273
775,1200,1150
776,1224,1224
777,1224,1200
778,1199,1224
779,1224,1199
780,1200,1199
781,1199,1273
782,1200,1126
783,1150,1151
784,1151,1150
785,1224,1200
786,1199,1224
787,1151,1248
788,1199,1102
789,1175,1248
790,1200,1126
791,1200,1224
792,1199,1224
793,1199,1200
794,1200,1199
795,1224,1200
796,1199,1224
797,1175,1248
798,1224,1224
799,1151,1077
800,1199,1200
801,1224,1224
802,1200,1199
803,1224,1298
804,1150,1077
805,1224,1297
806,1224,1224
807,1199,1151
808,1224,1224
809,1200,1199
810,1224,1224
811,1199,1273
812,1151,1077
813,1150,1175
814,1224,1273
815,1224,1151
816,1200,1199
817,1224,1200
818,1175,1199
819,1175,1249
820,1199,1126
821,1224,1297
822,1200,1126
823,1150,1151
824,1200,1199
825,1224,1200
826,1224,1224
827,1224,1322
828,1199,1126
829,1200,1273
830,1224,1126
831,1126,1150
832,1175,1200
833,1199,1199
834,1175,1200
835,1175,1248
836,1200,1126
837,1224,1298
