thread_1_core,thread_2_core,period_1,period_2
4,11,0.263321,0.263323
4,12,0.263205,0.263202
4,13,0.263208,0.263209
4,14,0.263207,0.263207
4,15,0.263206,0.263208
4,16,0.263209,0.263209
4,17,0.263207,0.263200
4,18,0.263208,0.263208
4,19,0.263207,0.263207
4,20,0.263207,0.263207
4,21,0.263207,0.263199
4,22,0.263205,0.263208
4,23,0.263206,0.263208
4,24,0.263308,0.263309
4,25,0.263310,0.263313
4,26,0.263315,0.263315
4,27,0.263309,0.263311
4,28,0.264055,0.264035
4,29,0.263313,0.263309
4,30,0.263309,0.263303
4,31,0.263313,0.263315
4,32,0.263320,0.263317
4,33,0.263316,0.263315
4,34,0.263313,0.263310
4,35,0.263313,0.263315
4,36,0.263207,0.263204
4,37,0.263207,0.263209
4,38,0.263206,0.263209
4,39,0.263208,0.263209
4,40,0.263207,0.263209
4,41,0.263206,0.263207
4,42,0.263207,0.263207
4,43,0.263210,0.263209
4,44,0.263211,0.263213
4,45,0.263212,0.263212
4,46,0.263211,0.263212
4,47,0.263212,0.263212
5,0,0.263314,0.263313
5,1,0.263317,0.263314
5,2,0.263310,0.263307
5,3,0.263311,0.263303
5,4,0.263318,0.263313
5,6,0.263319,0.263316
5,7,0.263315,0.263314
5,8,0.263318,0.263315
5,9,0.263315,0.263318
5,10,0.263316,0.263316
5,11,0.263309,0.263314
5,12,0.263211,0.263210
5,13,0.263212,0.263213
5,14,0.263212,0.263213
5,15,0.263212,0.263212
5,16,0.263212,0.263212
5,17,0.263212,0.263212
5,18,0.263211,0.263211
5,19,0.263212,0.263212
5,20,0.263210,0.263213
5,21,0.263211,0.263211
5,22,0.263213,0.263203
5,23,0.263208,0.263213
5,24,0.263310,0.263309
5,25,0.263319,0.263316
5,26,0.263311,0.263314
5,27,0.263310,0.263307
5,28,0.263314,0.263316
5,29,0.264055,0.264040
5,30,0.263313,0.263314
5,31,0.263313,0.263311
5,32,0.263313,0.263312
5,33,0.263314,0.263307
5,34,0.263310,0.263310
5,35,0.263310,0.263309
5,36,0.263211,0.263211
5,37,0.263212,0.263213
5,38,0.263209,0.263213
5,39,0.263210,0.263213
5,40,0.263214,0.263214
5,41,0.263210,0.263211
5,42,0.263211,0.263212
5,43,0.263213,0.263212
5,44,0.263212,0.263213
5,45,0.263212,0.263214
5,46,0.263212,0.263214
5,47,0.263210,0.263211
6,0,0.263311,0.263313
6,1,0.263300,0.263300
6,2,0.263312,0.263312
6,3,0.263307,0.263309
6,4,0.263306,0.263303
6,5,0.263307,0.263304
6,7,0.263310,0.263312
6,8,0.263320,0.263320
6,9,0.263308,0.263311
6,10,0.263309,0.263309
6,11,0.263314,0.263316
6,12,0.263209,0.263206
6,13,0.263211,0.263212
6,14,0.263212,0.263206
6,15,0.263209,0.263211
6,16,0.263213,0.263214
6,17,0.263212,0.263213
6,18,0.263211,0.263212
6,19,0.263208,0.263213
6,20,0.263211,0.263213
6,21,0.263211,0.263212
6,22,0.263211,0.263210
6,23,0.263210,0.263212
6,24,0.263302,0.263303
6,25,0.263305,0.263305
6,26,0.263310,0.263313
6,27,0.263305,0.263305
6,28,0.263307,0.263304
6,29,0.263303,0.263309
6,30,0.264051,0.264022
6,31,0.263301,0.263313
6,32,0.263318,0.263318
6,33,0.263309,0.263308
6,34,0.263312,0.263309
6,35,0.263311,0.263311
6,36,0.263209,0.263207
6,37,0.263209,0.263211
6,38,0.263212,0.263213
6,39,0.263207,0.263196
6,40,0.263210,0.263212
6,41,0.263210,0.263212
6,42,0.263209,0.263213
6,43,0.263212,0.263208
6,44,0.263211,0.263212
6,45,0.263211,0.263213
6,46,0.263211,0.263211
6,47,0.263211,0.263214
7,0,0.263309,0.263301
7,1,0.263319,0.263319
7,2,0.263308,0.263307
7,3,0.263321,0.263321
7,4,0.263312,0.263312
7,5,0.263318,0.263315
7,6,0.263311,0.263311
7,8,0.263312,0.263312
7,9,0.263314,0.263310
7,10,0.263314,0.263316
7,11,0.263317,0.263317
7,12,0.263212,0.263210
7,13,0.263211,0.263203
7,14,0.263212,0.263214
7,15,0.263212,0.263214
7,16,0.263212,0.263213
7,17,0.263213,0.263195
7,18,0.263211,0.263212
7,19,0.263213,0.263213
7,20,0.263213,0.263212
7,21,0.263212,0.263213
7,22,0.263213,0.263213
7,23,0.263212,0.263214
7,24,0.263302,0.263307
7,25,0.263321,0.263319
7,26,0.263305,0.263308
7,27,0.263314,0.263314
7,28,0.263314,0.263311
7,29,0.263317,0.263316
7,30,0.263315,0.263312
7,31,0.264052,0.264036
7,32,0.263308,0.263313
7,33,0.263310,0.263312
7,34,0.263313,0.263311
7,35,0.263304,0.263315
7,36,0.263210,0.263214
7,37,0.263209,0.263201
7,38,0.263214,0.263213
7,39,0.263212,0.263212
7,40,0.263211,0.263213
7,41,0.263213,0.263206
7,42,0.263213,0.263213
7,43,0.263210,0.263211
7,44,0.263213,0.263213
7,45,0.263211,0.263213
7,46,0.263213,0.263215
7,47,0.263211,0.263211
8,0,0.263306,0.263310
8,1,0.263304,0.263307
8,2,0.263305,0.263305
8,3,0.263305,0.263307
8,4,0.263310,0.263310
8,5,0.263315,0.263311
8,6,0.263311,0.263310
8,7,0.263308,0.263308
8,9,0.263303,0.263306
8,10,0.263307,0.263309
8,11,0.263308,0.263309
8,12,0.263210,0.263206
8,13,0.263204,0.263206
8,14,0.263204,0.263206
8,15,0.263206,0.263201
8,16,0.263203,0.263205
8,17,0.263205,0.263207
8,18,0.263205,0.263206
8,19,0.263204,0.263200
8,20,0.263206,0.263207
8,21,0.263204,0.263206
8,22,0.263205,0.263198
8,23,0.263204,0.263206
8,24,0.263306,0.263312
8,25,0.263308,0.263308
8,26,0.263310,0.263312
8,27,0.263317,0.263317
8,28,0.263311,0.263314
8,29,0.263312,0.263314
8,30,0.263309,0.263309
8,31,0.263307,0.263313
8,32,0.264055,0.264055
8,33,0.263310,0.263312
8,34,0.263311,0.263311
8,35,0.263316,0.263318
8,36,0.263204,0.263204
8,37,0.263204,0.263196
8,38,0.263206,0.263207
8,39,0.263204,0.263207
8,40,0.263207,0.263208
8,41,0.263205,0.263207
8,42,0.263202,0.263206
8,43,0.263205,0.263199
8,44,0.263204,0.263207
8,45,0.263205,0.263206
8,46,0.263205,0.263206
8,47,0.263204,0.263205
9,0,0.263312,0.263312
9,1,0.263308,0.263312
9,2,0.263310,0.263313
9,3,0.263314,0.263314
9,4,0.263310,0.263309
9,5,0.263315,0.263315
9,6,0.263308,0.263311
9,7,0.263312,0.263312
9,8,0.263318,0.263319
9,10,0.263315,0.263311
9,11,0.263313,0.263309
9,12,0.263207,0.263205
9,13,0.263205,0.263198
9,14,0.263203,0.263206
9,15,0.263204,0.263206
9,16,0.263203,0.263206
9,17,0.263205,0.263196
9,18,0.263205,0.263205
9,19,0.263206,0.263204
9,20,0.263205,0.263206
9,21,0.263203,0.263204
9,22,0.263204,0.263207
9,23,0.263206,0.263198
9,24,0.263313,0.263316
9,25,0.263314,0.263314
9,26,0.263310,0.263313
9,27,0.263313,0.263312
9,28,0.263313,0.263313
9,29,0.263315,0.263314
9,30,0.263314,0.263307
9,31,0.263305,0.263313
9,32,0.263314,0.263312
9,33,0.264038,0.264053
9,34,0.263307,0.263312
9,35,0.263307,0.263312
9,36,0.263205,0.263207
9,37,0.263203,0.263207
9,38,0.263205,0.263207
9,39,0.263204,0.263206
9,40,0.263205,0.263207
9,41,0.263205,0.263197
9,42,0.263202,0.263206
9,43,0.263206,0.263206
9,44,0.263205,0.263196
9,45,0.263204,0.263207
9,46,0.263206,0.263207
9,47,0.263203,0.263205
10,0,0.263307,0.263312
10,1,0.263318,0.263314
10,2,0.263315,0.263314
10,3,0.263315,0.263313
10,4,0.263316,0.263315
10,5,0.263323,0.263322
10,6,0.263311,0.263313
10,7,0.263316,0.263317
10,8,0.263321,0.263318
10,9,0.263315,0.263317
10,11,0.263318,0.263318
10,12,0.263206,0.263201
10,13,0.263206,0.263210
10,14,0.263203,0.263198
10,15,0.263203,0.263207
10,16,0.263206,0.263206
10,17,0.263203,0.263207
10,18,0.263204,0.263206
10,19,0.263205,0.263208
10,20,0.263203,0.263208
10,21,0.263204,0.263200
10,22,0.263203,0.263206
10,23,0.263204,0.263206
10,24,0.263306,0.263305
10,25,0.263309,0.263313
10,26,0.263312,0.263318
10,27,0.263311,0.263310
10,28,0.263310,0.263313
10,29,0.263313,0.263311
10,30,0.263309,0.263307
10,31,0.263313,0.263312
10,32,0.263312,0.263314
10,33,0.263316,0.263318
10,34,0.264049,0.264031
10,35,0.263316,0.263317
10,36,0.263205,0.263204
10,37,0.263203,0.263206
10,38,0.263203,0.263207
10,39,0.263206,0.263200
10,40,0.263203,0.263206
10,41,0.263202,0.263207
10,42,0.263203,0.263194
10,43,0.263203,0.263203
10,44,0.263207,0.263206
10,45,0.263203,0.263206
10,46,0.263205,0.263207
10,47,0.263203,0.263205
11,0,0.263306,0.263309
11,1,0.263306,0.263306
11,2,0.263308,0.263308
11,3,0.263308,0.263312
11,4,0.263312,0.263312
11,5,0.263312,0.263310
11,6,0.263312,0.263312
11,7,0.263312,0.263316
11,8,0.263314,0.263313
11,9,0.263307,0.263306
11,10,0.263308,0.263312
11,12,0.263206,0.263194
11,13,0.263203,0.263208
11,14,0.263201,0.263206
11,15,0.263202,0.263196
11,16,0.263204,0.263207
11,17,0.263205,0.263206
11,18,0.263205,0.263205
11,19,0.263205,0.263207
11,20,0.263203,0.263206
11,21,0.263203,0.263207
11,22,0.263204,0.263206
11,23,0.263204,0.263206
11,24,0.263308,0.263307
11,25,0.263307,0.263311
11,26,0.263314,0.263314
11,27,0.263312,0.263312
11,28,0.263307,0.263312
11,29,0.263312,0.263315
11,30,0.263308,0.263315
11,31,0.263308,0.263314
11,32,0.263308,0.263312
11,33,0.263309,0.263310
11,34,0.263306,0.263306
11,35,0.264048,0.264025
11,36,0.263204,0.263207
11,37,0.263205,0.263200
11,38,0.263203,0.263206
11,39,0.263204,0.263206
11,40,0.263204,0.263201
11,41,0.263203,0.263207
11,42,0.263205,0.263206
11,43,0.263203,0.263197
11,44,0.263204,0.263207
11,45,0.263205,0.263207
11,46,0.263203,0.263206
11,47,0.263204,0.263205
12,0,0.263203,0.263207
12,1,0.263205,0.263210
12,2,0.263202,0.263208
12,3,0.263202,0.263208
12,4,0.263200,0.263208
12,5,0.263198,0.263207
12,6,0.263203,0.263209
12,7,0.263203,0.263208
12,8,0.263200,0.263206
12,9,0.263195,0.263207
12,10,0.263203,0.263209
12,11,0.263197,0.263208
12,13,0.263299,0.263311
12,14,0.263297,0.263317
12,15,0.263298,0.263314
12,16,0.263289,0.263306
12,17,0.263293,0.263314
12,18,0.263312,0.263314
12,19,0.263288,0.263306
12,20,0.263303,0.263307
12,21,0.263296,0.263312
12,22,0.263299,0.263309
12,23,0.263304,0.263296
12,24,0.263198,0.263207
12,25,0.263204,0.263208
12,26,0.263197,0.263207
12,27,0.263197,0.263209
12,28,0.263203,0.263210
12,29,0.263202,0.263209
12,30,0.263202,0.263206
12,31,0.263206,0.263209
12,32,0.263202,0.263207
12,33,0.263196,0.263207
12,34,0.263202,0.263207
12,35,0.263203,0.263207
12,36,0.264006,0.264060
12,37,0.263304,0.263308
12,38,0.263318,0.263321
12,39,0.263299,0.263309
12,40,0.263297,0.263306
12,41,0.263300,0.263311
12,42,0.263312,0.263316
12,43,0.263287,0.263300
12,44,0.263307,0.263307
12,45,0.263316,0.263318
12,46,0.263284,0.263307
12,47,0.263306,0.263313
13,0,0.263201,0.263206
13,1,0.263209,0.263211
13,2,0.263208,0.263208
13,3,0.263203,0.263211
13,4,0.263209,0.263210
13,5,0.263208,0.263205
13,6,0.263207,0.263207
13,7,0.263210,0.263209
13,8,0.263208,0.263209
13,9,0.263208,0.263208
13,10,0.263194,0.263206
13,11,0.263205,0.263205
13,12,0.263309,0.263309
13,14,0.263316,0.263313
13,15,0.263314,0.263313
13,16,0.263310,0.263310
13,17,0.263309,0.263313
13,18,0.263316,0.263313
13,19,0.263312,0.263312
13,20,0.263312,0.263315
13,21,0.263309,0.263315
13,22,0.263312,0.263314
13,23,0.263310,0.263319
13,24,0.263205,0.263206
13,25,0.263187,0.263204
13,26,0.263206,0.263204
13,27,0.263204,0.263206
13,28,0.263196,0.263205
13,29,0.263203,0.263205
13,30,0.263203,0.263205
13,31,0.263206,0.263207
13,32,0.263199,0.263207
13,33,0.263202,0.263205
13,34,0.263206,0.263206
13,35,0.263204,0.263206
13,36,0.263311,0.263312
13,37,0.264066,0.264066
13,38,0.263312,0.263315
13,39,0.263319,0.263319
13,40,0.263309,0.263313
13,41,0.263316,0.263318
13,42,0.263307,0.263312
13,43,0.263288,0.263287
13,44,0.263299,0.263309
13,45,0.263314,0.263316
13,46,0.263313,0.263311
13,47,0.263317,0.263321
14,0,0.263202,0.263203
